DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 10:03:26;0;0;0;0;230126;55934;33660;184644;58996;11801;5705;
27.04.2018 10:03:35;13;43;0;0;52861;5209;3950;926;1501;1251;81;
27.04.2018 10:03:37;23;35;0;0;120518;26434;4858;33811;26599;15365;5528;
27.04.2018 10:03:38;37;34;0;0;1701;168;705;854;575;372;86;
27.04.2018 10:03:39;40;30;0;0;83226;29251;25620;12946;8574;3254;4269;
27.04.2018 10:03:40;64;63;0;0;23792;37322;6995;10819;9138;2496;2269;
27.04.2018 10:03:42;75;80;0;0;43024;12212;30286;22697;28152;8626;3348;
27.04.2018 10:03:43;50;84;0;0;183259;14767;60702;33657;10176;10403;3095;
27.04.2018 10:03:44;61;91;0;0;47648;42109;52112;44735;21872;8734;2797;
27.04.2018 10:03:45;48;78;0;0;72382;23492;17023;4429;5423;2659;612;
27.04.2018 10:03:46;40;84;0;0;53237;38023;21197;19366;19851;3302;3871;
27.04.2018 10:03:47;47;100;0;0;40740;91637;13695;11848;8561;16009;4466;
27.04.2018 10:03:48;48;93;0;0;78244;46245;21068;21068;23949;6498;2545;
27.04.2018 10:03:49;64;88;0;0;330026;186554;45630;109054;88998;42916;13846;
27.04.2018 10:03:57;51;66;0;0;36233;5277;3065;6962;3259;816;646;
27.04.2018 10:03:58;47;24;0;0;814349;11433;43951;41731;39671;20302;1792;
27.04.2018 10:03:59;34;20;0;0;113156;19757;27063;18754;9347;1944;992;
27.04.2018 10:04:00;13;21;0;0;395192;162612;18477;28958;19681;3902;4053;
27.04.2018 10:04:01;11;27;0;0;353560;47919;66314;22595;31597;11595;7313;
27.04.2018 10:04:02;27;53;0;0;295628;163699;25416;40725;69240;9674;3139;
27.04.2018 10:04:03;27;56;0;0;114362;4835;45492;6409;9441;2331;1168;
27.04.2018 10:04:04;26;47;0;0;119866;18808;11218;20209;4751;1023;955;
27.04.2018 10:04:05;21;34;0;0;553067;35236;21715;38998;28817;6835;3270;
27.04.2018 10:04:06;1;21;0;0;197069;17993;18898;9087;9111;2881;830;
27.04.2018 10:04:07;1;1;0;0;385531;15784;18469;9403;7762;3894;2674;
27.04.2018 10:04:08;1;1;0;0;129432;10943;19499;7852;8685;9905;2172;
27.04.2018 10:04:09;7;11;0;0;81230;6986;15009;17234;8232;4006;5037;
27.04.2018 10:04:10;7;8;0;0;81590;5143;7586;10662;3118;2456;1756;
27.04.2018 10:04:11;17;24;0;0;97162;23911;9592;9665;7132;2208;2404;
27.04.2018 10:04:12;20;38;0;0;42476;9197;17964;5533;4830;4616;2574;
27.04.2018 10:04:13;16;64;0;0;12389;46198;18685;6029;4634;1342;2313;
