DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
26.04.2018 23:38:11;0;0;0;0;57238;10849;8777;5249;2186;1123;722;
26.04.2018 23:38:12;0;0;0;0;200831;14015;14560;14155;7061;6233;1609;
26.04.2018 23:38:14;0;0;0;0;162665;6809;5110;16315;5598;3072;1884;
26.04.2018 23:38:14;53;43;0;0;51946;6528;5281;6947;9969;6696;2124;
26.04.2018 23:38:15;57;64;0;0;38621;15701;10436;5610;4908;7936;2542;
26.04.2018 23:38:17;53;88;0;0;122498;88071;31886;20065;8792;3056;1498;
26.04.2018 23:38:17;56;100;0;0;127953;69186;5617;15954;13527;3033;1700;
26.04.2018 23:38:18;50;100;0;0;82780;6478;16255;11554;10158;1409;1048;
26.04.2018 23:38:19;56;100;0;0;52577;31171;4061;7389;9345;1666;2003;
26.04.2018 23:38:20;75;88;0;0;111567;14217;15354;25810;20676;2519;2195;
26.04.2018 23:38:21;90;84;0;0;57735;20568;24062;26957;21503;2741;1660;
26.04.2018 23:38:22;77;100;0;0;32583;66978;19246;5965;4086;2031;2337;
26.04.2018 23:38:23;67;100;0;0;35859;31832;23151;12671;6099;3720;1172;
26.04.2018 23:38:24;63;97;0;0;145486;27286;17066;8991;18742;1513;656;
26.04.2018 23:38:25;54;87;0;0;23850;3280;5440;4584;3594;935;434;
26.04.2018 23:38:27;75;75;0;0;68687;20685;51297;37563;22229;8973;1817;
26.04.2018 23:38:29;64;53;0;0;153523;17145;2767;5849;5235;2182;1347;
26.04.2018 23:38:30;78;57;0;0;32056;839;24731;12139;15785;3019;3296;
26.04.2018 23:38:31;70;64;0;0;167002;68254;46900;30826;19972;7769;4746;
26.04.2018 23:38:33;54;61;0;0;24337;7622;3391;639;1562;506;458;
26.04.2018 23:38:34;66;64;0;0;111825;12591;9107;4621;10942;1859;1471;
26.04.2018 23:38:38;38;61;0;0;213080;47119;16349;4871;9437;4477;973;
26.04.2018 23:38:41;35;47;0;0;159686;15207;8499;32229;9989;5186;1934;
26.04.2018 23:38:42;47;51;0;0;38535;19816;14407;3048;7577;5906;2667;
26.04.2018 23:38:43;40;48;0;0;228605;12570;20082;28429;10361;2734;2942;
