DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
25.04.2018 17:55:21;51;57;0;0;12950;8820;12455;6974;10019;3375;5160;
25.04.2018 17:55:22;51;90;0;0;28494;18656;11818;14556;8033;5781;1656;
25.04.2018 17:55:23;43;96;0;0;53567;31135;7829;10055;6874;8462;4546;
25.04.2018 17:55:24;54;80;0;0;70320;9794;15373;18872;20196;6459;2593;
25.04.2018 17:55:25;43;47;0;0;97010;7364;4037;17951;13154;5608;4570;
25.04.2018 17:55:26;43;40;0;0;81588;20776;21622;12188;15515;11429;5655;
25.04.2018 17:55:27;51;41;0;0;54057;30287;15633;5076;14449;6365;1649;
25.04.2018 17:55:28;43;50;0;0;84134;23457;14608;7902;13639;1954;1031;
25.04.2018 17:55:29;38;75;0;0;84454;32492;11397;8975;10006;4124;2533;
25.04.2018 17:55:30;34;78;0;0;65951;32822;19551;31911;10927;3929;1280;
25.04.2018 17:55:31;14;57;0;0;66821;6986;6987;1785;2901;576;525;
25.04.2018 17:55:32;17;61;0;0;15924;3967;5576;1969;3805;1601;1592;
25.04.2018 17:55:33;24;57;0;0;91444;33881;8999;6261;18329;5691;961;
25.04.2018 17:55:34;21;48;0;0;118567;14163;20962;4393;10653;8563;1690;
25.04.2018 17:55:35;27;74;0;0;219079;169250;78913;28299;29034;16078;7006;
25.04.2018 17:55:36;24;66;0;0;76908;12746;17313;12121;13284;12730;2850;
25.04.2018 17:55:37;24;66;0;0;74138;12015;19204;6850;12502;9026;10920;
25.04.2018 17:55:38;27;81;0;0;77039;51366;31276;33757;12809;10783;2171;
25.04.2018 17:55:39;44;81;0;0;15799;12514;18597;8128;11011;1800;4823;
25.04.2018 17:55:40;40;88;0;0;46518;15054;9146;3548;6066;3312;3717;
25.04.2018 17:55:41;29;77;0;0;220041;6116;36945;3397;15958;3736;1752;
25.04.2018 17:55:42;35;84;0;0;15264;29269;35177;24880;8460;2898;1261;
25.04.2018 17:55:43;38;78;0;0;11290;2236;17762;8771;9889;4137;938;
25.04.2018 17:55:44;48;81;0;0;17355;12507;7412;7416;7153;3080;1351;
25.04.2018 17:55:45;53;94;0;0;40989;12914;11651;3153;5737;2739;2809;
25.04.2018 17:55:46;66;69;0;0;11845;5455;956;5840;5645;1454;1532;
25.04.2018 17:55:47;37;63;0;0;44641;10185;8716;5381;1986;1887;1357;
25.04.2018 17:55:48;30;64;0;0;10216;4158;9027;3206;3031;3440;1687;
25.04.2018 17:55:49;29;40;0;0;121059;3807;6768;17618;9276;6198;2607;
25.04.2018 17:55:50;20;38;0;0;20872;4904;2375;9951;4479;2383;2486;
25.04.2018 17:55:51;30;14;0;0;76690;3864;2503;4469;6446;7516;2675;
25.04.2018 17:55:52;23;3;0;0;102362;24259;11142;8358;8643;4983;3726;
25.04.2018 17:55:53;23;20;0;0;206351;43565;8947;4209;18031;10131;2436;
25.04.2018 17:55:54;24;35;0;0;10380;10188;1887;5468;3987;1844;1665;
25.04.2018 17:55:55;30;61;0;0;70514;22107;21376;8363;13239;2509;1988;
25.04.2018 17:55:56;47;64;0;0;69041;29572;4162;6477;22058;5625;1741;
25.04.2018 17:55:57;50;74;0;0;64401;20547;10967;7669;7563;6361;2147;
25.04.2018 17:55:58;51;50;0;0;25250;1445;2929;4676;7049;8633;2115;
25.04.2018 17:55:59;38;23;0;0;700243;16226;34823;57310;30797;7727;4140;
25.04.2018 17:56:00;27;14;0;0;99225;12495;17603;15793;11906;4149;7428;
25.04.2018 17:56:01;24;26;0;0;100229;106356;66854;69372;17776;11886;6025;
