DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 17:01:30;37;84;0;0;40182;12436;4918;6110;7768;5394;3882;
20.04.2018 17:01:30;27;67;0;0;120547;25257;8420;14155;7077;5572;6317;
20.04.2018 17:01:31;26;60;0;0;41333;10664;12341;4225;7801;2008;1716;
20.04.2018 17:01:32;34;61;0;0;38202;13950;25731;13395;6627;7066;2725;
20.04.2018 17:01:33;38;51;0;0;19990;1522;748;3095;1788;921;789;
20.04.2018 17:01:34;51;44;0;0;29186;3402;3696;3533;7494;10409;3460;
20.04.2018 17:01:35;48;38;0;0;49779;1722;9587;2092;4746;3826;3589;
20.04.2018 17:01:36;44;21;0;0;57150;7623;3623;4057;4483;3012;4876;
20.04.2018 17:01:37;41;27;0;0;456322;45876;44921;51731;35742;24110;11632;
20.04.2018 17:01:38;34;34;0;0;119275;28695;14956;27002;14123;23211;41266;
20.04.2018 17:01:39;35;37;0;0;123441;28952;22981;26844;15601;14663;29884;
20.04.2018 17:01:40;35;43;0;0;227433;16491;58555;71900;18463;11896;8036;
20.04.2018 17:01:41;44;56;0;0;15075;10957;1443;2435;5114;2555;3532;
20.04.2018 17:01:42;57;74;0;0;8644;27619;2760;5315;11767;7808;13130;
20.04.2018 17:01:43;54;78;0;0;204278;67945;49599;25090;20633;6906;12965;
20.04.2018 17:01:44;47;81;0;0;107190;26917;11443;4925;4080;2909;2605;
20.04.2018 17:01:45;29;53;0;0;184625;808;5656;3879;7111;2408;3554;
20.04.2018 17:01:46;8;40;0;0;142913;29733;28330;12711;6948;4112;3115;
20.04.2018 17:01:47;8;27;0;0;25996;672;3315;2233;2103;818;880;
20.04.2018 17:01:49;10;16;0;0;1239644;83574;45991;39591;45485;25097;44291;
20.04.2018 17:01:50;13;34;0;0;67177;10403;3746;2766;4043;3350;2636;
20.04.2018 17:01:51;16;16;0;0;913770;11344;69717;36777;48250;41197;30269;
20.04.2018 17:01:52;26;20;0;0;15883;2174;1704;2984;3554;5127;2762;
20.04.2018 17:01:53;41;29;0;0;42570;10699;5225;6593;9914;8911;17900;
20.04.2018 17:01:54;50;30;0;0;55492;1411;12758;8467;7203;15550;9679;
20.04.2018 17:01:55;57;40;0;0;359886;26421;45694;21956;46804;49510;28481;
DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
