DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 17:07:23;27;66;0;0;6650;1113;3769;1990;1094;349;405;
20.04.2018 17:07:23;38;69;0;0;1761;1375;4268;4293;2811;2837;1166;
20.04.2018 17:07:24;51;77;0;0;10260;4730;4607;9012;6316;4751;2154;
20.04.2018 17:07:25;51;80;0;0;74246;24975;21076;31492;14594;13531;20235;
20.04.2018 17:07:26;61;80;0;0;61828;21388;36204;16493;36760;41388;17637;
20.04.2018 17:07:27;48;63;0;0;2171014;179122;139816;88895;170151;107163;81950;
20.04.2018 17:07:28;38;78;0;0;104025;193275;99254;31897;48685;37515;32582;
20.04.2018 17:07:29;53;74;0;0;4973;3581;1602;9888;7620;7716;8252;
20.04.2018 17:07:30;56;70;0;0;7134;5468;1379;3509;6212;3357;3557;
20.04.2018 17:07:31;66;78;0;0;8765;573;2979;2295;2562;4598;2261;
20.04.2018 17:07:32;81;67;0;0;5863;4152;8130;3801;12413;6172;6058;
20.04.2018 17:07:33;63;70;0;0;20165;2530;7818;4553;2384;2799;4071;
20.04.2018 17:07:34;43;70;0;0;10065;3363;1195;653;702;515;272;
20.04.2018 17:07:35;40;81;0;0;23886;6184;14961;3250;5367;4141;4252;
20.04.2018 17:07:36;20;77;0;0;91369;25873;11535;10082;8316;3507;2349;
20.04.2018 17:07:37;30;74;0;0;8871;1903;3027;4767;4326;331;720;
20.04.2018 17:07:38;41;69;0;0;47939;7204;9613;14625;8440;4701;2938;
20.04.2018 17:07:39;41;66;0;0;32906;5269;15587;2880;7712;6000;5370;
20.04.2018 17:07:40;53;64;0;0;5401;675;1917;777;2035;1804;2524;
20.04.2018 17:07:41;53;74;0;0;8086;3560;7942;4962;6930;3720;1986;
20.04.2018 17:07:42;51;78;0;0;47707;25047;4556;5554;8352;1876;2711;
20.04.2018 17:07:43;51;69;0;0;20012;4152;1203;4663;3547;2515;1840;
20.04.2018 17:07:44;51;61;0;0;31537;3662;7523;32014;12035;29120;7205;
20.04.2018 17:07:45;47;57;0;0;27233;15929;4095;7062;7740;10320;2844;
20.04.2018 17:07:46;53;60;0;0;11427;6771;1865;589;5142;3472;1972;
20.04.2018 17:07:47;60;60;0;0;8576;1996;884;2628;3446;3033;3293;
20.04.2018 17:07:48;51;64;0;0;56696;7918;9731;6971;7590;12233;5273;
20.04.2018 17:07:49;50;63;0;0;38385;10289;7510;4550;8892;5281;5629;
20.04.2018 17:07:50;53;56;0;0;34577;7941;8783;9902;19258;12768;15774;
20.04.2018 17:07:51;48;50;0;0;14795;382;1526;1053;2684;1913;1945;
20.04.2018 17:07:52;56;56;0;0;9236;10460;7276;18065;7365;9461;9545;
20.04.2018 17:07:53;57;70;0;0;9742;13434;38332;9712;13303;7989;10061;
20.04.2018 17:07:54;57;74;0;0;29898;9547;9528;9068;18382;5842;4957;
20.04.2018 17:07:55;56;84;0;0;23782;3751;7152;3385;4719;8081;4811;
