DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 16:59:06;75;40;0;0;5685;3124;4097;5902;9794;8535;36905;
20.04.2018 16:59:07;54;35;0;0;119627;38111;2371;16217;4179;6858;43956;
20.04.2018 16:59:07;57;38;0;0;31458;6832;10671;5930;12201;7143;148673;
20.04.2018 16:59:07;66;56;0;0;128479;25871;29518;15465;22195;15213;115946;
20.04.2018 16:59:08;57;64;0;0;6157;5851;9098;3602;7765;2192;40101;
20.04.2018 16:59:09;67;56;0;0;30777;3036;1103;854;2797;3871;5298;
20.04.2018 16:59:10;61;56;0;0;80131;29345;6696;16378;15536;10468;16874;
20.04.2018 16:59:11;69;54;0;0;25407;4815;7705;9363;9437;2098;16399;
20.04.2018 16:59:12;47;48;0;0;243492;88230;33771;15970;14828;38314;187508;
20.04.2018 16:59:13;53;63;0;0;24106;6248;12890;4397;6509;2389;27437;
20.04.2018 16:59:15;51;61;0;0;49547;12106;9528;20387;8115;8851;120627;
20.04.2018 16:59:15;44;81;0;0;27358;52805;26604;5195;13259;7349;115019;
20.04.2018 16:59:16;57;75;0;0;28384;6714;5371;11353;6608;4528;100809;
20.04.2018 16:59:17;51;77;0;0;85351;6289;69263;23301;12994;16396;111674;
20.04.2018 16:59:18;43;74;0;0;212030;30689;19016;8417;13892;63391;59050;
20.04.2018 16:59:19;51;60;0;0;18556;5517;11538;9145;8434;8046;100337;
20.04.2018 16:59:20;37;51;0;0;628006;57743;23873;12376;25935;18534;84138;
