DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 1:40:08;0;0;0;0;19254;1877;5839;2573;3154;657;796;
27.04.2018 1:40:09;0;0;0;0;86000;16396;5983;16740;8282;2809;2138;
27.04.2018 1:40:10;0;0;0;0;203932;25607;21884;16635;11945;7484;2532;
27.04.2018 1:40:11;50;53;0;0;60549;56880;14326;10677;13660;5499;3405;
27.04.2018 1:40:12;70;56;0;0;139388;45446;33076;38890;32605;5287;3913;
27.04.2018 1:40:16;63;74;0;0;80365;12169;91576;9293;7825;5229;1508;
27.04.2018 1:40:19;87;78;0;0;18130;800;11656;4412;4620;2229;2739;
27.04.2018 1:40:20;100;75;0;0;18296;14404;11345;10865;9433;4080;2106;
27.04.2018 1:40:21;70;88;0;0;32728;2926;40736;6234;3983;2577;2086;
27.04.2018 1:40:22;83;69;0;0;51626;13482;6219;6261;6175;6203;2269;
27.04.2018 1:40:23;83;63;0;0;37415;1870;15670;3200;15558;6041;2306;
27.04.2018 1:40:24;51;54;0;0;102934;33557;9901;8281;6737;2421;1666;
27.04.2018 1:40:25;78;51;0;0;3649;4715;11088;13155;4303;2121;1559;
27.04.2018 1:40:26;70;50;0;0;33654;5546;6690;4983;3088;4355;1782;
27.04.2018 1:40:27;69;47;0;0;22820;6249;4226;6147;8789;4041;1218;
27.04.2018 1:40:28;77;66;0;0;45951;37121;50179;9883;9248;2898;1882;
27.04.2018 1:40:29;75;70;0;0;10608;4693;26525;9881;8352;4528;2560;
27.04.2018 1:40:30;91;81;0;0;32756;10181;11671;2506;9271;1639;1633;
27.04.2018 1:40:32;77;83;0;0;52512;16188;8007;12523;8230;7244;1646;
