DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 18:06:11;0;0;0;0;53946;19554;30568;5795;9893;6888;10135;
27.04.2018 18:06:12;0;0;0;0;67965;18690;7914;15455;5396;12918;8728;
27.04.2018 18:06:13;0;0;0;0;53321;26812;6340;13682;9970;2516;7412;
27.04.2018 18:06:14;51;51;0;0;6124;6399;9762;5665;11584;1220;7518;
27.04.2018 18:06:15;54;70;0;0;16346;5304;18881;3011;7065;2973;6752;
27.04.2018 18:06:16;50;74;0;0;42980;17392;10225;8657;6435;3418;6999;
27.04.2018 18:06:17;48;91;0;0;23560;12725;28576;22007;7465;4170;7850;
27.04.2018 18:06:19;26;100;0;0;12015;15358;15025;11984;2207;3032;6187;
