DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
13.04.2018 19:50:55;0;0;0;0;233486;16201;50096;6809;38308;4696;3304;
13.04.2018 19:50:56;0;0;0;0;281861;19544;22727;5522;10896;14845;4162;
13.04.2018 19:50:57;0;0;0;0;45602;8339;6401;6060;3068;916;839;
13.04.2018 19:50:59;51;51;0;0;5965;11745;9723;3931;3665;14335;8061;
13.04.2018 19:51:00;60;53;0;0;42809;8989;12993;2734;6164;8729;1110;
13.04.2018 19:51:01;69;48;0;0;42452;3028;6839;3233;5671;7910;3725;
13.04.2018 19:51:02;87;47;0;0;21331;3033;4137;3094;4775;1240;1549;
13.04.2018 19:51:03;84;35;0;0;11653;3668;5029;4497;2408;3061;2104;
13.04.2018 19:51:03;87;27;0;0;100462;14893;8934;12265;13711;8674;5236;
13.04.2018 19:51:04;66;21;0;0;59901;1885;4346;2652;2286;897;326;
13.04.2018 19:51:05;47;21;0;0;37903;6084;4458;3624;2084;1570;736;
13.04.2018 19:51:06;34;20;0;0;23997;4230;5879;2872;1759;1517;593;
13.04.2018 19:51:07;8;34;0;0;166434;95443;52200;10841;6414;9058;6015;
13.04.2018 19:51:08;26;43;0;0;81727;23858;20145;41044;13826;6372;2481;
13.04.2018 19:51:09;24;51;0;0;126010;71266;33929;10384;10478;1988;2108;
13.04.2018 19:51:10;30;56;0;0;116594;34440;79501;17427;18027;5333;2258;
13.04.2018 19:51:11;41;50;0;0;230561;42835;61907;19795;13185;5684;2266;
13.04.2018 19:51:12;26;47;0;0;62100;12848;9240;29927;3457;9038;5463;
13.04.2018 19:51:13;27;44;0;0;167706;101399;10743;34792;14298;8298;2073;
13.04.2018 19:51:14;20;43;0;0;517469;126906;239320;15867;38041;15996;6667;
13.04.2018 19:51:15;21;47;0;0;121549;36314;25645;2699;7411;3374;1117;
13.04.2018 19:51:16;24;60;0;0;269210;205247;136162;48060;32557;65082;6681;
13.04.2018 19:51:17;35;57;0;0;10338;5786;1164;3768;1671;1399;755;
13.04.2018 19:51:18;51;54;0;0;28955;14054;5021;2364;6026;855;266;
13.04.2018 19:51:19;53;61;0;0;70008;20602;68032;12640;7583;3491;2545;
13.04.2018 19:51:20;48;38;0;0;31190;838;1551;2203;1402;506;260;
13.04.2018 19:51:22;30;35;0;0;328096;69053;42932;68404;13492;7705;4654;
13.04.2018 19:51:23;17;38;0;0;74273;4487;65017;15228;7449;3408;3181;
13.04.2018 19:51:23;44;20;0;0;8299;1590;1447;3764;13634;6163;4503;
13.04.2018 19:51:24;60;37;0;0;29560;16680;6259;7367;14320;6876;3173;
13.04.2018 19:51:25;70;50;0;0;33145;32528;29614;7249;12241;6548;4231;
13.04.2018 19:51:26;87;50;0;0;27794;32397;24531;13576;35077;14194;8533;
13.04.2018 19:51:27;64;56;0;0;220925;63859;21749;59399;39860;8185;4570;
13.04.2018 19:51:28;50;54;0;0;34503;9730;6391;5431;2920;1798;403;
13.04.2018 19:51:29;48;37;0;0;33816;2326;4489;6248;4265;3645;1672;
13.04.2018 19:51:30;41;35;0;0;80607;45097;21985;17589;32015;8494;4259;
13.04.2018 19:51:31;47;50;0;0;41364;46211;104788;17801;34444;17866;11286;
