DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 16:57:01;1;27;0;0;110734;8812;15626;5320;4649;3566;157770;
20.04.2018 16:57:01;1;11;0;0;88566;1667;18069;13384;6039;4518;178088;
20.04.2018 16:57:01;1;27;0;0;76465;9536;39085;11242;1831;3139;192554;
20.04.2018 16:57:01;11;1;0;0;40662;3993;6715;31876;6562;3014;193844;
20.04.2018 16:57:01;11;1;0;0;40662;3993;6715;31876;6562;3014;193844;
20.04.2018 16:57:01;11;1;0;0;40662;3993;6715;31876;6562;3014;193844;
20.04.2018 16:57:01;11;1;0;0;40662;3993;6715;31876;6562;3014;193844;
20.04.2018 16:57:02;29;1;0;0;244070;32721;86417;33450;21137;22577;848815;
20.04.2018 16:57:03;35;7;0;0;4066;232;1356;721;333;186;12346;
20.04.2018 16:57:04;50;35;0;0;20389;4713;17764;2696;3344;1159;45428;
20.04.2018 16:57:05;24;35;0;0;123934;10820;7329;3565;2803;1616;75436;
20.04.2018 16:57:16;23;40;0;0;142559;73256;12387;16037;11161;2380;128242;
20.04.2018 16:57:17;26;43;0;0;21359;7594;1778;1493;2789;964;20344;
20.04.2018 16:57:18;7;16;0;0;35794;824;4829;1459;687;1181;39012;
20.04.2018 16:57:19;30;27;0;0;481963;119625;74603;32241;95034;26460;536736;
20.04.2018 16:57:20;40;40;0;0;11259;18741;9190;10187;3437;926;45469;
20.04.2018 16:57:21;48;50;0;0;51071;49982;7344;11204;16340;3314;198387;
20.04.2018 16:57:22;61;66;0;0;74802;24210;18110;17008;5658;3486;148436;
20.04.2018 16:57:23;37;53;0;0;245474;23965;5218;8934;5346;2038;159354;
20.04.2018 16:57:24;38;34;0;0;186761;34757;39508;34937;27414;7223;204911;
20.04.2018 16:57:25;29;37;0;0;116985;113856;43160;42570;22650;6656;559840;
20.04.2018 16:57:26;27;23;0;0;199973;35658;13276;18987;10934;8820;681929;
20.04.2018 16:57:27;66;27;0;0;27279;4978;2215;5229;12430;13850;564649;
20.04.2018 16:57:28;63;26;0;0;105665;13027;18876;5763;11491;16918;482801;
20.04.2018 16:57:29;50;16;0;0;166061;30749;53071;9798;7778;6970;470047;
20.04.2018 16:57:30;50;23;0;0;500340;115001;60584;79949;26747;8028;691492;
20.04.2018 16:57:31;23;44;0;0;151778;60367;85703;26911;12915;7148;198679;
20.04.2018 16:57:32;4;30;0;0;72753;4990;2659;3715;1599;1169;49459;
20.04.2018 16:57:33;17;24;0;0;8084;1428;1286;378;833;351;11826;
20.04.2018 16:57:34;27;35;0;0;48576;18596;18670;14675;7543;4674;194389;
20.04.2018 16:57:35;24;4;0;0;191053;9401;13432;23957;7117;2657;199272;
20.04.2018 16:57:36;35;26;0;0;118860;33079;48737;38437;9354;10939;111005;
20.04.2018 16:57:37;40;21;0;0;43554;1973;10578;16856;6776;2298;27755;
20.04.2018 16:57:38;56;13;0;0;63822;17500;25858;42836;36278;7302;89238;
20.04.2018 16:57:39;57;24;0;0;103460;9433;21155;7820;5383;4601;49357;
20.04.2018 16:57:42;67;29;0;0;150883;43282;100930;40077;31248;31053;37014;
20.04.2018 16:57:43;64;34;0;0;316275;68375;12181;30253;34323;7222;390516;
20.04.2018 16:57:44;50;34;0;0;121226;35697;5749;11027;14352;2213;300850;
20.04.2018 16:57:45;69;37;0;0;30362;11224;12158;25455;10558;12819;322637;
20.04.2018 16:57:46;70;26;0;0;13125;2610;3737;3908;2051;3099;79629;
20.04.2018 16:57:47;81;35;0;0;52473;8184;23731;15987;18410;13305;236024;
20.04.2018 16:57:48;75;37;0;0;12251;3108;1090;886;910;754;17028;
20.04.2018 16:57:49;56;40;0;0;537924;179047;60240;46380;33160;35253;34779;
20.04.2018 16:57:50;57;30;0;0;26129;1979;4754;3230;4333;1042;18846;
20.04.2018 16:57:51;63;37;0;0;70955;57995;13527;15495;41698;24597;504114;
20.04.2018 16:57:52;69;20;0;0;377545;24242;9593;22777;33427;9077;259300;
20.04.2018 16:57:53;70;7;0;0;81859;8481;2942;1935;5490;2489;97784;
20.04.2018 16:57:54;61;1;0;0;100352;1455;2929;4714;5997;9098;295035;
20.04.2018 16:57:55;41;1;0;0;10769;4990;4235;4200;1127;914;40749;
20.04.2018 16:57:56;53;27;0;0;9171;6632;6079;11189;5011;4392;150271;
20.04.2018 16:57:57;67;44;0;0;67999;26089;11543;24558;16762;12666;232390;
20.04.2018 16:57:58;70;69;0;0;36114;10224;11857;13252;4444;2496;38779;
20.04.2018 16:57:59;94;53;0;0;7659;1527;838;4632;4540;2275;33501;
20.04.2018 16:58:00;100;48;0;0;25231;8702;9972;22594;16496;20846;106182;
20.04.2018 16:58:01;100;37;0;0;41784;2858;5030;10484;10690;7435;118576;
20.04.2018 16:58:02;100;37;0;0;10885;5177;8135;9342;13115;23619;160649;
