DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
26.04.2018 19:54:54;81;35;0;0;3434;4569;2193;2766;2872;1212;19260;
26.04.2018 19:54:54;64;48;0;0;49385;21801;16806;7769;4650;3261;40702;
26.04.2018 19:54:55;44;63;0;0;22721;7346;15099;6268;5411;6469;65302;
26.04.2018 19:54:56;75;70;0;0;7605;4744;3927;8153;7037;1860;75480;
26.04.2018 19:54:57;66;63;0;0;32733;4879;8498;1890;7601;2775;70504;
26.04.2018 19:54:58;54;54;0;0;157300;22262;26253;11742;5006;6349;45270;
26.04.2018 19:54:59;34;40;0;0;510314;42371;22098;7060;6200;8636;103199;
26.04.2018 19:55:00;27;38;0;0;88474;33156;12650;21581;35028;45227;75612;
26.04.2018 19:55:01;26;40;0;0;67473;15046;18078;7835;9425;12575;70111;
26.04.2018 19:55:02;54;40;0;0;65414;15453;7320;18304;11669;14108;37306;
26.04.2018 19:55:03;80;41;0;0;25950;2079;3140;2905;3537;1604;12094;
26.04.2018 19:55:04;81;47;0;0;14867;13997;5505;11829;10817;8059;59181;
26.04.2018 19:55:05;84;47;0;0;37941;13108;8769;6593;7642;10620;32615;
26.04.2018 19:55:06;88;47;0;0;39850;8652;6612;9422;9583;10906;31957;
26.04.2018 19:55:07;80;44;0;0;154559;8593;17234;17855;9459;10726;49874;
26.04.2018 19:55:08;74;34;0;0;96130;8555;10244;828;20195;5844;30996;
26.04.2018 19:55:09;75;27;0;0;50922;20370;4733;31902;10669;8357;19684;
26.04.2018 19:55:10;84;29;0;0;44877;4252;22672;10176;40003;12623;17095;
26.04.2018 19:55:11;90;48;0;0;48616;56348;4589;8955;9763;3760;6821;
26.04.2018 19:55:11;97;57;0;0;19509;5066;11929;7558;14859;21726;14868;
26.04.2018 19:55:12;94;66;0;0;39887;15098;18765;4793;7978;11212;19514;
26.04.2018 19:55:13;69;63;0;0;218714;27841;20551;4235;16209;13640;20068;
26.04.2018 19:55:14;63;47;0;0;138049;12887;10708;9503;7399;13292;13547;
26.04.2018 19:55:15;63;47;0;0;13200;4331;11273;10617;11500;8667;31852;
26.04.2018 19:55:17;80;40;0;0;25697;13959;5745;8752;23163;13292;9370;
26.04.2018 19:55:17;100;51;0;0;9640;9966;18906;3907;32472;12136;11724;
26.04.2018 19:55:18;100;50;0;0;51568;3160;6500;7630;9607;8423;12959;
26.04.2018 19:55:19;100;34;0;0;49713;1397;5253;7501;17216;11767;19918;
26.04.2018 19:55:20;96;24;0;0;9940;956;1276;2551;2970;2632;2334;
26.04.2018 19:55:21;88;16;0;0;23770;9285;4057;8589;13554;4826;16283;
26.04.2018 19:55:22;100;24;0;0;25941;8878;12732;8096;28554;10913;17768;
26.04.2018 19:55:23;100;43;0;0;4553;4833;15089;20001;14089;11000;7356;
26.04.2018 19:55:24;100;47;0;0;32310;6260;5563;13901;14616;8523;28985;
26.04.2018 19:55:25;100;43;0;0;12244;2875;6033;22287;11087;7192;9307;
26.04.2018 19:55:26;100;37;0;0;33806;10527;2003;3960;26922;9247;13438;
26.04.2018 19:55:27;100;35;0;0;12475;8217;6615;13387;8240;6881;14864;
26.04.2018 19:55:28;100;43;0;0;22485;1298;12972;4292;5916;5931;10543;
26.04.2018 19:55:29;84;51;0;0;27304;10660;6149;9744;4908;9142;8154;
26.04.2018 19:55:30;78;67;0;0;11209;23403;12197;8161;13426;4175;19861;
26.04.2018 19:55:31;69;81;0;0;35362;61201;47360;15115;17860;11540;17162;
26.04.2018 19:55:32;70;87;0;0;17598;19424;12327;14899;10417;8235;26222;
26.04.2018 19:55:33;83;93;0;0;4365;8394;5059;7154;6731;4392;18408;
26.04.2018 19:55:34;90;87;0;0;7844;4834;9654;8068;12736;3414;17588;
26.04.2018 19:55:35;100;70;0;0;15790;6914;5159;12272;8379;3833;9440;
26.04.2018 19:55:36;100;60;0;0;17932;6745;8482;31797;7258;5919;22593;
26.04.2018 19:55:37;100;51;0;0;8682;2252;3432;3907;7383;5508;16448;
26.04.2018 19:55:38;83;47;0;0;18770;2597;4828;3339;1965;1127;1525;
26.04.2018 19:55:39;75;37;0;0;13841;1856;1067;4072;2687;1979;3920;
26.04.2018 19:55:40;61;40;0;0;38180;10220;4285;5827;2562;6432;1899;
26.04.2018 19:55:41;44;47;0;0;268339;119712;94654;28816;39167;26099;15348;
26.04.2018 19:55:42;63;38;0;0;47940;5826;12117;43686;42165;29159;10288;
26.04.2018 19:55:43;66;51;0;0;23994;13116;16154;16845;11726;6599;11490;
26.04.2018 19:55:44;78;66;0;0;13874;21914;16991;8120;7955;11801;11611;
26.04.2018 19:55:45;78;63;0;0;13958;5050;4036;3655;1982;2042;2299;
26.04.2018 19:55:48;63;75;0;0;16960;8864;2886;4755;3771;3595;1390;
26.04.2018 19:55:49;51;63;0;0;50014;8777;1252;5605;3473;5623;2915;
26.04.2018 19:55:50;57;47;0;0;21012;5061;6873;13971;12249;10127;30755;
26.04.2018 19:55:51;64;40;0;0;10781;4118;794;2739;3003;2603;1750;
26.04.2018 19:55:52;70;41;0;0;13885;8142;4777;5108;7292;18071;15224;
26.04.2018 19:55:53;94;44;0;0;4296;1400;3122;8581;5710;8205;8060;
26.04.2018 19:55:54;93;40;0;0;48014;7435;4727;7338;15408;10565;10494;
