DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 16:08:42;75;70;0;0;10473;42870;11989;8477;22860;23822;6036;
20.04.2018 16:08:42;91;69;0;0;2859;2099;3637;13523;12737;8273;3601;
20.04.2018 16:08:43;96;67;0;0;19672;24338;4754;48073;19402;11896;13178;
20.04.2018 16:08:44;97;70;0;0;14015;9748;12956;11422;28561;20949;5818;
20.04.2018 16:08:45;94;56;0;0;71665;12770;22874;24853;27932;14179;11869;
20.04.2018 16:08:46;87;66;0;0;16036;12561;18477;13902;23352;15979;3628;
20.04.2018 16:08:47;78;75;0;0;6783;5237;5101;3421;3005;4295;1533;
20.04.2018 16:08:48;67;75;0;0;39287;18203;12949;21097;16464;4063;4127;
20.04.2018 16:08:49;69;87;0;0;15732;10127;31851;18416;16762;17256;6850;
20.04.2018 16:08:50;60;70;0;0;52872;6258;3361;5403;11239;1467;2032;
20.04.2018 16:08:51;67;67;0;0;18073;11220;14709;11019;16882;16156;5348;
20.04.2018 16:08:52;64;74;0;0;14643;10853;4507;3840;4134;2125;3038;
20.04.2018 16:08:53;60;69;0;0;20175;5017;24145;17749;10156;17934;9799;
20.04.2018 16:08:54;63;83;0;0;35677;6909;42246;44392;19019;12359;7022;
20.04.2018 16:08:55;51;80;0;0;24220;10441;3590;6764;3947;2830;2559;
20.04.2018 16:08:56;53;81;0;0;16407;38172;7917;24163;11839;6389;17790;
20.04.2018 16:08:57;61;78;0;0;8700;27336;4865;35021;21908;9317;8695;
