DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 16:07:14;50;63;0;0;4993;16804;11017;8499;10549;8968;5457;
20.04.2018 16:07:22;69;69;0;0;5403;12175;4679;8383;15052;6973;4384;
20.04.2018 16:07:26;93;81;0;0;3925;1021;9273;12648;13693;7890;6302;
20.04.2018 16:07:28;81;61;0;0;10833;2494;6660;9998;7983;11477;4022;
20.04.2018 16:07:28;74;66;0;0;12967;3674;1717;1077;1862;2595;3131;
20.04.2018 16:07:29;41;61;0;0;61327;8232;6399;3671;1901;4957;2042;
20.04.2018 16:07:30;38;53;0;0;19258;5731;3297;7533;3790;5153;1294;
20.04.2018 16:07:31;44;50;0;0;10032;7054;1097;13255;16108;6654;6506;
20.04.2018 16:07:32;40;38;0;0;91476;3348;6124;7892;5825;6957;2195;
20.04.2018 16:07:33;54;40;0;0;6844;432;2098;2594;1499;1082;1527;
20.04.2018 16:07:34;66;43;0;0;62112;48417;11965;15032;55104;27037;8085;
20.04.2018 16:07:35;38;35;0;0;159158;8936;5592;13196;5651;6555;7394;
20.04.2018 16:07:36;44;41;0;0;29593;5409;2382;3176;5371;7410;4602;
20.04.2018 16:07:37;44;48;0;0;5968;3198;784;1814;1649;1711;1086;
