DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 19:18:55;0;0;0;0;871353;576909;104003;16902;332320;12132;1959800;
27.04.2018 19:18:56;0;0;0;0;266223;22248;16075;16906;104377;2692;657180;
27.04.2018 19:18:57;0;0;0;0;158161;44028;6186;8862;120065;1035;704434;
27.04.2018 19:18:58;51;80;0;0;162278;181760;4363;3335;68401;1214;682583;
27.04.2018 19:18:59;50;61;0;0;257339;33160;5096;3295;137280;1064;856257;
27.04.2018 19:19:00;13;66;0;0;326970;282066;23640;6089;66301;1431;649587;
27.04.2018 19:19:01;21;56;0;0;351576;78790;30402;22340;138820;5709;920598;
27.04.2018 19:19:02;38;51;0;0;162045;127933;43666;9618;161435;3213;781821;
27.04.2018 19:19:03;13;63;0;0;268173;64711;17028;2627;43186;1832;283340;
27.04.2018 19:19:04;1;74;0;0;82216;50626;59613;16588;15648;2646;331352;
27.04.2018 19:19:05;1;77;0;0;23787;14565;11954;8179;6319;1239;115505;
27.04.2018 19:19:06;1;80;0;0;28389;10595;1591;4364;3107;756;98479;
27.04.2018 19:19:07;1;81;0;0;42840;19491;14911;9387;10189;2319;104308;
27.04.2018 19:19:09;1;64;0;0;75311;5825;11350;3046;2767;1342;61816;
27.04.2018 19:19:10;1;63;0;0;229075;52319;102100;35863;10594;6928;922687;
27.04.2018 19:19:11;1;74;0;0;38753;17749;22687;9162;3993;3723;707078;
27.04.2018 19:19:12;1;69;0;0;58377;16485;9332;1811;5074;908;172170;
27.04.2018 19:19:13;1;83;0;0;40365;21803;18168;5969;2748;1452;186898;
27.04.2018 19:19:14;1;63;0;0;794767;41479;26499;18738;27726;9685;564018;
27.04.2018 19:19:15;1;61;0;0;64213;25763;28948;15637;6797;19715;578956;
27.04.2018 19:19:16;1;40;0;0;122167;4120;3452;9653;12395;24665;585701;
27.04.2018 19:19:17;1;23;0;0;268935;30023;24026;12939;22326;12580;490710;
27.04.2018 19:19:18;16;38;0;0;70537;16833;18677;21632;11445;9622;498062;
