DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
25.04.2018 15:03:05;56;64;0;0;319986;17899;31862;66102;48257;15216;17345;
25.04.2018 15:03:06;69;70;0;0;199181;21903;105487;21050;42186;9920;20405;
25.04.2018 15:03:06;90;81;0;0;183649;54893;20556;37090;66215;31889;5399;
25.04.2018 15:03:07;63;75;0;0;51267;8246;10168;6585;2424;3476;2716;
25.04.2018 15:03:08;70;61;0;0;121675;17881;28748;47069;19226;8428;2985;
25.04.2018 15:03:09;69;54;0;0;334214;269903;31025;272665;140486;90174;20222;
25.04.2018 15:03:10;67;63;0;0;44366;15820;22214;22061;21746;8202;4402;
25.04.2018 15:03:11;77;57;0;0;46887;10092;11543;39504;3814;4316;4761;
25.04.2018 15:03:12;90;61;0;0;29597;7062;13443;29426;11343;9428;1634;
25.04.2018 15:03:13;74;63;0;0;28133;7590;13019;11542;4212;1826;607;
25.04.2018 15:03:14;54;63;0;0;35594;7867;18094;13587;7158;6334;2237;
25.04.2018 15:03:15;78;64;0;0;198271;50191;30630;62368;45749;22789;22181;
25.04.2018 15:03:16;81;67;0;0;36409;11744;40436;57367;51705;11291;1681;
25.04.2018 15:03:17;80;63;0;0;134296;27539;39365;26514;25417;7201;6728;
25.04.2018 15:03:18;74;70;0;0;17800;4550;14716;4763;3766;2207;1331;
25.04.2018 15:03:19;64;77;0;0;79080;44533;7919;47768;23113;6650;6743;
25.04.2018 15:03:20;35;93;0;0;305189;432124;274244;151036;75295;12986;19997;
25.04.2018 15:03:21;34;78;0;0;200846;35356;5629;58146;25668;6984;1427;
25.04.2018 15:03:22;24;80;0;0;152694;114213;36949;10605;17897;5149;3014;
25.04.2018 15:03:23;29;80;0;0;41625;6835;12487;4359;13998;3780;2383;
25.04.2018 15:03:24;48;61;0;0;18986;2893;16964;29489;9292;1585;2789;
25.04.2018 15:03:25;48;84;0;0;181309;60586;150360;53171;38605;8490;6920;
25.04.2018 15:03:26;53;90;0;0;6624;6635;6817;2050;1614;450;678;
25.04.2018 15:03:27;43;88;0;0;512657;164246;190305;344579;98394;32736;16053;
25.04.2018 15:03:28;26;100;0;0;77544;55569;20258;15858;12922;9360;6899;
25.04.2018 15:03:29;26;100;0;0;83255;126106;25753;10758;26088;6501;2915;
25.04.2018 15:03:30;23;96;0;0;107879;16835;84360;29370;13745;17407;9101;
25.04.2018 15:03:31;13;100;0;0;19651;2933;15812;6972;2176;1810;3541;
25.04.2018 15:03:32;27;93;0;0;40918;6149;17518;9782;13868;6559;6105;
25.04.2018 15:03:33;29;69;0;0;100887;22669;16766;37108;16972;17316;17150;
25.04.2018 15:03:34;34;75;0;0;19953;10802;14852;6450;3954;1790;2004;
25.04.2018 15:03:35;60;61;0;0;9054;5061;2028;10177;5345;2153;1474;
25.04.2018 15:03:36;75;64;0;0;92519;108089;80809;166502;187427;22362;15375;
25.04.2018 15:03:37;66;80;0;0;109047;13372;125382;64047;18732;8914;7924;
25.04.2018 15:03:38;81;53;0;0;107288;10810;9552;18638;33269;13906;8762;
25.04.2018 15:03:39;67;75;0;0;11512;54271;20924;16764;12923;7299;5625;
25.04.2018 15:03:40;67;57;0;0;172962;21571;48255;177666;180903;70183;15554;
25.04.2018 15:03:41;80;48;0;0;175229;110339;71702;128375;59622;28203;14148;
25.04.2018 15:03:48;74;60;0;0;8406;1229;6268;11639;3160;1027;625;
25.04.2018 15:03:49;77;35;0;0;18172;3127;5385;10532;5643;1489;1607;
25.04.2018 15:03:50;50;63;0;0;31575;17169;88478;30782;14449;7489;5739;
25.04.2018 15:03:51;51;60;0;0;16438;2034;6696;3112;5104;3121;1248;
25.04.2018 15:03:52;48;66;0;0;20575;2727;13604;3093;5791;3243;2180;
25.04.2018 15:03:53;37;83;0;0;52168;45062;33529;16102;12763;8559;5442;
