DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
26.04.2018 23:41:12;67;34;0;0;64037;10194;9931;14410;18616;21148;9442;
26.04.2018 23:41:12;91;24;0;0;5316;1871;760;2831;5221;2107;6898;
26.04.2018 23:41:13;100;34;0;0;27810;3517;15874;8098;11391;7499;17334;
26.04.2018 23:41:13;100;34;0;0;27810;3517;15874;8098;11391;7499;17334;
26.04.2018 23:41:13;87;26;0;0;34816;9299;7265;17469;6605;12470;14013;
26.04.2018 23:41:14;80;53;0;0;10085;22877;23574;11489;12757;17478;19643;
26.04.2018 23:41:15;75;61;0;0;11627;8078;4837;18587;9740;6162;21081;
26.04.2018 23:41:16;69;57;0;0;46588;5253;20771;6399;12924;14473;19758;
26.04.2018 23:41:17;93;63;0;0;5386;7250;12100;20968;19960;4246;9963;
26.04.2018 23:41:18;97;54;0;0;10640;10122;14363;7450;14255;10270;23153;
26.04.2018 23:41:19;87;37;0;0;71965;5406;2241;7678;15895;11651;29871;
26.04.2018 23:41:20;84;53;0;0;6029;13576;29987;29141;7804;12803;7465;
26.04.2018 23:41:21;77;44;0;0;24191;5269;7820;15149;15738;9669;10613;
26.04.2018 23:41:22;47;37;0;0;26956;5472;6345;2716;1612;1840;1653;
26.04.2018 23:41:23;37;48;0;0;44487;1123;8960;5995;5918;4488;16659;
26.04.2018 23:41:24;30;44;0;0;16036;21211;3254;8022;4595;5749;12792;
26.04.2018 23:41:25;30;61;0;0;6098;8182;8323;7632;10024;6221;7278;
26.04.2018 23:41:26;63;70;0;0;13589;4096;26923;13525;18290;6261;20877;
26.04.2018 23:41:27;60;100;0;0;23641;41148;24283;10222;7021;17364;16651;
26.04.2018 23:41:28;74;100;0;0;7488;11496;27912;7183;13827;16158;20499;
26.04.2018 23:41:29;64;100;0;0;28914;31452;3829;17480;15325;6273;5558;
26.04.2018 23:41:30;66;100;0;0;20487;12307;11396;6294;20164;18162;9890;
26.04.2018 23:41:31;77;100;0;0;3437;3847;10266;1412;3081;2100;5564;
26.04.2018 23:41:32;78;64;0;0;23031;3768;998;9152;9712;3857;5616;
26.04.2018 23:41:33;63;48;0;0;278531;25497;28467;12057;22902;8028;25000;
26.04.2018 23:41:34;43;43;0;0;63402;20268;7235;13662;10708;11709;8428;
26.04.2018 23:41:35;37;13;0;0;324630;17906;54350;19316;39632;26381;15892;
26.04.2018 23:41:36;43;34;0;0;3680;4697;5393;8120;8136;6873;3862;
26.04.2018 23:41:37;35;34;0;0;414040;18918;53199;8679;18882;20555;14297;
26.04.2018 23:41:38;38;35;0;0;263526;75337;62427;43847;56878;64666;23855;
26.04.2018 23:41:39;26;35;0;0;1890133;145197;262127;77197;91528;456165;54768;
26.04.2018 23:41:40;1;26;0;0;155695;33097;22790;31158;19415;35382;35288;
26.04.2018 23:41:41;3;38;0;0;189305;37480;57188;42072;12374;27645;20628;
26.04.2018 23:41:42;17;51;0;0;7454;5319;21624;4314;15212;42115;18330;
26.04.2018 23:41:43;53;61;0;0;33392;15184;11493;11490;31541;13888;28717;
26.04.2018 23:41:44;69;61;0;0;12690;2670;3685;2606;6877;5173;4370;
26.04.2018 23:41:45;100;50;0;0;12003;2582;4011;5479;22408;10541;7505;
26.04.2018 23:41:46;100;38;0;0;5060;2144;2430;3773;2346;3402;2278;
26.04.2018 23:41:47;90;27;0;0;78306;2735;22358;29516;33618;25807;19121;
26.04.2018 23:41:48;67;21;0;0;95242;11955;8662;7222;9149;12568;10885;
26.04.2018 23:41:49;44;30;0;0;45732;11910;11184;14581;10514;6250;6949;
26.04.2018 23:41:50;61;8;0;0;17325;246;2768;7332;22773;20889;9107;
26.04.2018 23:41:51;56;26;0;0;14824;11145;7215;4993;7668;4579;4128;
26.04.2018 23:41:52;64;48;0;0;24721;17241;15485;4624;9231;11150;6027;
26.04.2018 23:41:53;74;56;0;0;7779;7122;1091;3176;4198;2363;1411;
26.04.2018 23:41:54;47;94;0;0;11678;12114;11005;1174;4288;5547;3786;
26.04.2018 23:41:55;35;83;0;0;18210;4538;1487;1956;1793;1705;3414;
26.04.2018 23:41:56;35;87;0;0;13158;13607;8712;1878;6102;4675;3775;
26.04.2018 23:41:57;34;87;0;0;17988;22730;3801;10692;9844;3198;4643;
26.04.2018 23:41:58;29;66;0;0;30446;4362;7109;7300;3962;2927;3131;
26.04.2018 23:41:59;43;84;0;0;11057;1986;28733;7075;10371;12702;2625;
26.04.2018 23:42:00;38;77;0;0;18465;4501;9458;6559;3534;2461;4436;
26.04.2018 23:42:01;38;69;0;0;11077;7041;3066;9998;4827;1992;5404;
26.04.2018 23:42:02;63;78;0;0;11954;24368;7169;17467;30731;8371;3706;
26.04.2018 23:42:03;60;56;0;0;248314;36675;27550;36192;56563;61300;23110;
26.04.2018 23:42:04;63;60;0;0;91206;82532;18538;44515;24975;28738;13819;
26.04.2018 23:42:05;56;66;0;0;30412;10935;14988;1904;7353;15552;2820;
26.04.2018 23:42:06;21;40;0;0;227597;574;7945;8005;10560;15587;15225;
26.04.2018 23:42:07;13;50;0;0;239221;82251;16365;18884;28446;76961;31104;
26.04.2018 23:42:08;29;43;0;0;54836;22861;13775;26501;52118;20104;42007;
26.04.2018 23:42:09;40;29;0;0;12992;290;3343;4848;5968;10092;8674;
26.04.2018 23:42:10;50;63;0;0;19876;14167;13805;14848;4495;8867;2632;
26.04.2018 23:42:11;57;57;0;0;32704;3367;6716;5176;6917;11212;7077;
26.04.2018 23:42:12;41;57;0;0;34061;3634;8206;2097;6348;8073;2734;
26.04.2018 23:42:13;48;70;0;0;13292;14094;10848;12284;23646;17193;7443;
26.04.2018 23:42:14;77;57;0;0;11243;9691;5211;31890;25613;20321;14261;
26.04.2018 23:42:15;64;56;0;0;139229;19182;11617;26728;11297;18219;15797;
26.04.2018 23:42:16;81;63;0;0;7030;7096;2455;3118;8479;4196;3253;
26.04.2018 23:42:17;69;48;0;0;42797;2908;7352;19770;11431;38094;7751;
26.04.2018 23:42:18;51;54;0;0;11783;4094;4681;8844;4861;5597;4234;
26.04.2018 23:42:19;74;57;0;0;26955;7254;7099;9743;15576;13558;16100;
26.04.2018 23:42:20;70;60;0;0;16623;32081;8728;24179;28610;23475;21713;
26.04.2018 23:42:21;70;77;0;0;17988;14263;3827;4338;7471;14286;3739;
26.04.2018 23:42:22;74;78;0;0;31678;8110;18332;8339;15928;17334;15055;
26.04.2018 23:42:23;70;83;0;0;28790;23603;7081;18477;22525;17287;11858;
26.04.2018 23:42:24;69;80;0;0;4565;3046;3596;6763;3876;3404;5229;
26.04.2018 23:42:25;78;70;0;0;6692;1817;10032;23587;7790;13721;21083;
26.04.2018 23:42:26;74;78;0;0;45968;48276;29716;24087;24095;12270;14208;
26.04.2018 23:42:27;60;74;0;0;102741;22354;14941;18877;18059;8404;10003;
26.04.2018 23:42:28;63;77;0;0;102883;100048;23016;25066;111261;60004;41203;
26.04.2018 23:42:29;40;67;0;0;84331;6578;7789;15856;6479;6182;2064;
26.04.2018 23:42:30;41;63;0;0;11887;2260;6135;1815;3942;2851;1962;
26.04.2018 23:42:31;67;61;0;0;1408;962;1374;3459;5357;3808;3785;
