DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 18:25:06;0;0;0;0;41729;8155;9340;21238;11752;8885;2226;
27.04.2018 18:25:07;0;0;0;0;71338;24762;14175;31624;13974;12849;6720;
27.04.2018 18:25:10;0;0;0;0;25286;5560;2354;2870;3137;1266;634;
27.04.2018 18:25:11;51;30;0;0;30388;12397;2161;36114;10864;17058;4209;
27.04.2018 18:25:12;61;54;0;0;33267;28542;27362;12532;16586;15363;5745;
27.04.2018 18:25:13;83;67;0;0;23930;30468;13459;30985;26715;6477;8120;
27.04.2018 18:25:14;100;77;0;0;27041;23265;7021;8562;26917;10398;7562;
27.04.2018 18:25:15;100;100;0;0;9077;20902;18112;17201;10829;19272;7159;
27.04.2018 18:25:16;100;69;0;0;25842;437;11298;21498;15445;16684;3836;
27.04.2018 18:25:17;100;80;0;0;21280;38444;20591;18442;20109;12003;4948;
27.04.2018 18:25:18;81;75;0;0;41727;6478;22301;12859;12740;10670;1524;
27.04.2018 18:25:19;64;57;0;0;77018;29098;19233;9825;12044;12185;7814;
27.04.2018 18:25:21;56;54;0;0;59128;3997;4748;33186;20067;19394;13468;
27.04.2018 18:25:22;61;43;0;0;44821;8156;40842;28452;30065;13091;8865;
27.04.2018 18:25:23;78;53;0;0;17614;10430;16183;13127;16897;24533;6817;
27.04.2018 18:25:24;94;50;0;0;62360;9447;22416;28198;21815;34759;8063;
