DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
19.04.2018 21:06:59;0;0;0;0;6423;2652;1954;1946;2622;1315;1369;
19.04.2018 21:07:42;0;0;0;0;15555;7649;1006;12986;3180;2141;2435;
