DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
13.04.2018 19:50:31;0;0;0;0;628082;42600;9164;13722;8911;2671;52614;
13.04.2018 19:50:31;56;69;0;0;23831;7203;14239;9641;6514;2888;18664;
13.04.2018 19:50:32;60;61;0;0;57468;13244;11555;6536;9920;9756;10541;
13.04.2018 19:50:33;60;54;0;0;4310;242;1223;2192;1930;708;4561;
13.04.2018 19:50:34;77;60;0;0;13829;3647;3404;1814;6306;1394;15200;
13.04.2018 19:50:35;87;54;0;0;4307;4780;2638;11794;8537;5045;23106;
13.04.2018 19:50:36;97;53;0;0;8730;2962;6010;10178;11626;1522;9167;
13.04.2018 19:50:37;93;63;0;0;21524;9043;6094;6655;6509;6915;13914;
13.04.2018 19:50:38;90;57;0;0;16840;3424;641;1914;3345;1008;7232;
13.04.2018 19:50:39;78;66;0;0;23458;16087;11059;10694;5897;5604;11588;
13.04.2018 19:50:40;75;74;0;0;3530;3664;5534;5610;5627;2348;15879;
13.04.2018 19:50:41;77;78;0;0;12835;16665;4748;11851;7596;3915;12585;
13.04.2018 19:50:42;81;81;0;0;8807;804;6768;13093;7592;4438;10302;
13.04.2018 19:50:43;84;81;0;0;24735;12831;16241;5322;10426;4011;7215;
13.04.2018 19:50:44;77;88;0;0;28076;36853;7945;4842;7833;2846;15847;
13.04.2018 19:50:45;80;78;0;0;26074;1854;6926;2869;11044;3926;4296;
13.04.2018 19:50:46;81;84;0;0;8717;8479;6121;4547;13488;5037;8672;
13.04.2018 19:50:47;78;70;0;0;11425;3641;1803;13100;2240;2053;10246;
13.04.2018 19:50:48;77;66;0;0;18757;14243;9046;13488;3245;5198;5738;
13.04.2018 19:50:49;70;78;0;0;8306;4054;7814;2369;3325;2016;11122;
13.04.2018 19:50:50;69;69;0;0;13322;4393;1466;7560;7605;6262;13550;
13.04.2018 19:50:51;70;80;0;0;18335;11150;5445;6503;5668;3139;8193;
13.04.2018 19:50:52;78;83;0;0;11393;11002;10656;7043;7390;2373;7030;
13.04.2018 19:50:53;77;75;0;0;11608;1836;4476;3447;2654;1933;6691;
13.04.2018 19:50:54;60;75;0;0;62919;12140;3763;4091;2021;981;2101;
13.04.2018 19:50:55;60;63;0;0;42795;5690;5411;13300;8880;3859;8890;
13.04.2018 19:50:56;63;54;0;0;6069;4506;6716;13318;5874;6250;4236;
13.04.2018 19:50:57;60;56;0;0;37300;10042;9532;2073;6052;2252;9927;
13.04.2018 19:50:58;78;64;0;0;3895;4589;3467;5225;5575;5286;3901;
13.04.2018 19:50:59;74;74;0;0;44173;11358;10354;12102;6079;2753;8241;
13.04.2018 19:51:00;74;83;0;0;4206;3167;11929;3377;5237;3958;4210;
13.04.2018 19:51:01;81;83;0;0;15100;9841;6614;12869;12414;8092;16783;
13.04.2018 19:51:02;74;75;0;0;42008;11897;4373;24573;7679;6365;6038;
13.04.2018 19:51:03;80;78;0;0;11459;3939;6141;1786;5519;7371;4504;
13.04.2018 19:51:04;74;69;0;0;52674;11326;28143;10356;8382;9962;4323;
13.04.2018 19:51:05;61;66;0;0;24353;4112;5669;3848;2043;1722;1796;
13.04.2018 19:51:06;57;61;0;0;1664101;23680;191664;92012;157096;18495;28502;
13.04.2018 19:51:07;54;56;0;0;794691;39906;335175;157630;155689;43565;18358;
13.04.2018 19:51:10;48;47;0;0;270475;35451;22546;15231;12258;8045;21464;
13.04.2018 19:51:11;51;51;0;0;75402;21014;34749;13915;14065;14802;31144;
13.04.2018 19:51:12;51;57;0;0;33611;1966;6680;5095;3674;3679;15296;
13.04.2018 19:51:13;54;63;0;0;27430;20586;15324;22063;13474;7170;194564;
13.04.2018 19:51:14;54;69;0;0;108980;44633;6207;3303;5358;5632;210907;
13.04.2018 19:51:15;50;66;0;0;84839;14680;26165;19554;5960;9783;267473;
13.04.2018 19:51:16;51;63;0;0;20254;2940;2060;8630;2313;2672;202639;
13.04.2018 19:51:17;47;50;0;0;30308;3547;1683;2036;3673;2144;41599;
13.04.2018 19:51:18;56;60;0;0;18829;31048;13344;5970;10264;3005;190628;
13.04.2018 19:51:19;69;60;0;0;14796;2750;8655;7586;8420;5126;207859;
13.04.2018 19:51:20;69;74;0;0;89380;26850;42819;18700;15127;9942;50266;
13.04.2018 19:51:22;70;87;0;0;10228;6435;4246;4818;3316;1592;3618;
13.04.2018 19:51:22;74;83;0;0;5359;1009;7526;2462;3490;1269;1303;
13.04.2018 19:51:23;60;78;0;0;302727;66353;13703;12862;15496;20915;7504;
13.04.2018 19:51:24;50;70;0;0;418650;94497;27851;20583;13169;12393;6803;
13.04.2018 19:51:25;51;67;0;0;15250;6201;14197;30466;7472;5856;1783;
13.04.2018 19:51:26;51;61;0;0;57051;20967;9839;4259;23893;2047;9366;
13.04.2018 19:51:27;60;63;0;0;91503;20902;23944;45485;21697;10798;9643;
13.04.2018 19:51:28;67;63;0;0;75107;19090;7885;21177;8638;8421;3987;
13.04.2018 19:51:29;60;64;0;0;30372;13390;3331;3458;2785;4450;4383;
13.04.2018 19:51:30;61;63;0;0;15208;4899;9182;18759;10140;4327;3210;
13.04.2018 19:51:31;69;69;0;0;6228;10046;6242;12306;10346;8082;5162;
13.04.2018 19:51:32;74;80;0;0;5684;6045;2834;4528;2539;2675;3176;
13.04.2018 19:51:33;67;70;0;0;64939;10933;5153;3401;2023;803;4267;
13.04.2018 19:51:34;57;69;0;0;23715;1998;5433;1329;2179;1944;1991;
13.04.2018 19:51:35;48;60;0;0;73788;18090;5072;31204;9745;10430;5213;
13.04.2018 19:51:36;53;48;0;0;20322;7382;2774;17873;9446;10420;3652;
13.04.2018 19:51:37;70;56;0;0;6193;7397;3953;6389;7748;6223;1324;
13.04.2018 19:51:38;77;66;0;0;28358;22485;11596;14759;11640;5265;5086;
13.04.2018 19:51:39;80;70;0;0;54416;14866;9613;13589;12751;4352;5624;
13.04.2018 19:51:40;67;78;0;0;37251;14803;742;3155;2424;3044;3116;
13.04.2018 19:51:41;66;78;0;0;12390;3833;21154;8613;16314;7901;2778;
13.04.2018 19:51:42;69;70;0;0;12538;6594;10500;26511;9138;7080;7055;
13.04.2018 19:51:43;74;69;0;0;24335;7826;3040;8169;8354;7778;7746;
13.04.2018 19:51:44;84;74;0;0;7039;12398;8091;21996;8395;12316;3219;
13.04.2018 19:51:45;83;67;0;0;29636;11167;16909;16015;19029;13810;3880;
13.04.2018 19:51:46;75;57;0;0;25154;3732;1488;5386;2091;2063;1060;
13.04.2018 19:51:47;70;67;0;0;28200;21704;8898;6628;8984;7307;8737;
13.04.2018 19:51:48;54;75;0;0;141642;56792;77937;7879;7029;7987;11782;
13.04.2018 19:51:49;50;70;0;0;76526;19131;29543;39847;19753;15521;21716;
13.04.2018 19:51:50;57;81;0;0;45913;24131;14402;23743;24974;6843;5336;
13.04.2018 19:51:51;60;78;0;0;221666;145772;42196;48550;72434;8653;5671;
13.04.2018 19:51:53;63;74;0;0;33050;15028;5971;4766;1919;229;565;
13.04.2018 19:51:55;63;84;0;0;20666;13862;17586;4066;7173;978;790;
13.04.2018 19:51:56;53;83;0;0;31115;8737;7950;12387;3352;3201;2678;
13.04.2018 19:51:57;54;81;0;0;68412;19945;23424;9593;20861;4900;8177;
13.04.2018 19:51:58;64;87;0;0;9804;15100;12914;11582;7045;5361;3222;
13.04.2018 19:51:59;70;80;0;0;6325;3288;7288;10061;7740;9041;6315;
13.04.2018 19:52:00;81;66;0;0;20276;2248;2262;11475;7793;4479;3909;
13.04.2018 19:52:01;80;64;0;0;14127;5996;1188;4725;3552;2089;5709;
13.04.2018 19:52:02;91;51;0;0;5589;4512;2509;4313;14605;4210;1908;
13.04.2018 19:52:03;78;50;0;0;83415;35074;5218;17806;6307;2450;7823;
13.04.2018 19:52:04;77;60;0;0;3953;1271;953;1556;1651;1597;2488;
13.04.2018 19:52:05;74;63;0;0;32559;15246;4209;6172;5460;16332;4932;
13.04.2018 19:52:06;63;64;0;0;38484;11259;8148;5036;13801;3719;4155;
13.04.2018 19:52:07;81;66;0;0;4366;6150;3957;5297;13465;10242;1924;
13.04.2018 19:52:08;74;63;0;0;126917;23422;10257;20987;9207;3956;5056;
13.04.2018 19:52:09;78;60;0;0;29260;6589;16822;22034;11936;11289;4888;
13.04.2018 19:52:10;87;60;0;0;3875;1833;4649;4314;10488;3005;2329;
13.04.2018 19:52:11;78;51;0;0;17771;4095;615;2100;5041;4510;3292;
13.04.2018 19:52:12;81;69;0;0;13929;25888;12310;9993;4833;5014;2894;
13.04.2018 19:52:13;70;69;0;0;73021;25495;5149;6985;4758;3405;5025;
13.04.2018 19:52:14;53;69;0;0;22797;3124;7108;3285;2020;1711;503;
13.04.2018 19:52:15;37;69;0;0;112526;15763;7968;1561;2493;2105;1324;
13.04.2018 19:52:16;37;61;0;0;23358;12028;15477;21315;4254;2369;1106;
13.04.2018 19:52:17;47;63;0;0;12693;4428;4165;4794;5944;2657;2190;
13.04.2018 19:52:18;64;57;0;0;10114;4946;3142;10865;15442;13821;5585;
13.04.2018 19:52:19;77;50;0;0;17661;1111;816;3832;2505;1011;654;
13.04.2018 19:52:20;84;43;0;0;17720;7995;2302;7075;8515;4539;2502;
13.04.2018 19:52:21;84;50;0;0;8539;8443;6058;5571;5164;3535;2382;
13.04.2018 19:52:22;67;57;0;0;14557;5676;3794;2842;1565;1086;1519;
13.04.2018 19:52:23;67;70;0;0;12874;5664;2535;10835;2955;6924;4271;
13.04.2018 19:52:24;66;78;0;0;12139;6799;5075;2957;5733;2840;1817;
13.04.2018 19:52:25;64;74;0;0;27613;10003;10137;7752;8812;7341;1899;
13.04.2018 19:52:26;67;74;0;0;66579;28958;23937;19790;12445;3993;6892;
13.04.2018 19:52:27;63;74;0;0;69712;16753;13447;16342;6619;4691;1322;
13.04.2018 19:52:28;57;69;0;0;34882;18408;6559;18888;6760;5934;5271;
13.04.2018 19:52:29;53;57;0;0;48901;6599;1091;3319;5336;7364;4813;
13.04.2018 19:52:30;57;48;0;0;61367;5623;13184;28393;14798;5160;9750;
13.04.2018 19:52:31;61;56;0;0;31645;25129;5006;2747;7644;15967;4923;
13.04.2018 19:52:32;56;50;0;0;271560;29240;40260;20988;19562;58089;7751;
13.04.2018 19:52:33;61;60;0;0;18404;4080;7210;8069;5699;1845;2666;
13.04.2018 19:52:34;53;63;0;0;179319;18252;49171;45289;13841;5779;2370;
13.04.2018 19:52:35;51;64;0;0;15275;13086;3897;2982;3043;2010;2533;
13.04.2018 19:52:36;56;75;0;0;37716;13919;17860;9565;8005;4088;2747;
13.04.2018 19:52:40;47;81;0;0;17461;2288;10079;1259;1490;494;785;
13.04.2018 19:52:41;48;94;0;0;6669;6449;2320;612;911;830;1260;
13.04.2018 19:52:42;47;84;0;0;154772;46792;17028;13133;15253;5957;6485;
13.04.2018 19:52:43;51;67;0;0;244467;38473;2725;49840;66274;7125;8554;
13.04.2018 19:52:44;54;64;0;0;176688;134795;53799;148352;35724;7872;5334;
13.04.2018 19:52:45;56;60;0;0;54405;18907;20574;5991;6768;3284;1202;
13.04.2018 19:52:46;61;60;0;0;29553;12084;5882;9962;6332;6356;5375;
13.04.2018 19:52:47;60;81;0;0;5695;8374;1824;2892;3046;1574;2654;
13.04.2018 19:52:48;75;83;0;0;3376;942;14191;4916;16684;4931;2171;
13.04.2018 19:52:49;78;87;0;0;186570;249839;64855;104187;80598;29175;43249;
13.04.2018 19:52:50;90;91;0;0;2975;8768;1543;3569;10792;12354;6083;
13.04.2018 19:52:51;97;84;0;0;6430;4606;3916;8381;7682;5625;3193;
13.04.2018 19:52:52;90;90;0;0;5198;3897;5732;1897;3981;3346;3099;
13.04.2018 19:52:53;100;77;0;0;4669;1822;1611;3832;5431;5532;4137;
13.04.2018 19:52:53;94;77;0;0;7300;2520;7664;2921;6470;3180;3360;
13.04.2018 19:52:55;96;77;0;0;9298;13907;2414;13886;15415;3948;5174;
13.04.2018 19:52:55;100;70;0;0;11454;5400;13766;5234;12877;7095;3794;
13.04.2018 19:52:56;94;78;0;0;7061;1191;4783;2966;3781;5318;4779;
13.04.2018 19:52:57;100;81;0;0;2142;6503;7080;2428;12768;5560;4258;
13.04.2018 19:52:58;90;90;0;0;30725;40875;4123;3586;13221;5583;5701;
13.04.2018 19:52:59;87;93;0;0;5018;6369;5447;3104;4208;12154;2460;
13.04.2018 19:53:00;87;96;0;0;9470;5450;8927;4569;8731;9781;3499;
13.04.2018 19:53:01;90;91;0;0;3015;1532;10118;4285;17371;12839;4849;
13.04.2018 19:53:02;97;87;0;0;5404;5484;3884;2945;9059;8207;6103;
13.04.2018 19:53:03;100;81;0;0;4069;5839;873;2909;4868;13291;3273;
13.04.2018 19:53:04;100;67;0;0;10178;3760;3087;6112;26012;5365;7174;
13.04.2018 19:53:05;100;74;0;0;7446;2769;15431;4655;9960;5642;4513;
13.04.2018 19:53:06;100;63;0;0;7382;2337;1514;4276;10101;3214;4883;
13.04.2018 19:53:07;100;50;0;0;36745;6165;1708;3154;8271;5540;3274;
13.04.2018 19:53:08;81;60;0;0;8002;2560;1801;2254;1359;1768;1199;
13.04.2018 19:53:09;69;51;0;0;8828;2860;996;1156;770;567;891;
13.04.2018 19:53:10;61;53;0;0;14381;2298;4131;5896;6176;6372;3065;
13.04.2018 19:53:11;64;63;0;0;14338;10268;6113;9376;9401;5346;1978;
13.04.2018 19:53:12;60;60;0;0;223529;58876;20352;46172;15545;8518;7116;
13.04.2018 19:53:13;67;61;0;0;10584;6600;4007;9478;4925;2045;1835;
13.04.2018 19:53:14;63;53;0;0;115260;3925;13685;14085;21699;6220;6015;
