DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 1:35:17;0;0;0;0;43959;6537;2928;4509;2736;595;230;
27.04.2018 1:35:19;0;0;0;0;9147;9468;4954;2470;2880;1100;865;
27.04.2018 1:35:20;0;0;0;0;103072;46671;4924;8498;17937;2593;1775;
27.04.2018 1:35:21;34;30;0;0;169818;22831;14604;21780;10884;3239;4100;
27.04.2018 1:35:23;56;44;0;0;19186;17793;24604;12146;15150;3322;2157;
27.04.2018 1:35:24;69;53;0;0;28191;8983;19946;5884;7295;2743;3561;
27.04.2018 1:35:25;56;38;0;0;740032;26042;83070;165686;30297;13400;1391;
27.04.2018 1:35:26;44;47;0;0;83779;26851;4971;6843;3856;3005;1225;
27.04.2018 1:35:27;20;30;0;0;56921;19512;1396;1685;5525;5588;2098;
27.04.2018 1:35:28;14;53;0;0;45795;36447;41055;18319;6309;2461;3008;
27.04.2018 1:35:29;20;70;0;0;33598;48549;18275;15084;4498;2456;2398;
27.04.2018 1:35:30;16;77;0;0;35653;7065;13061;2911;3323;4666;2573;
27.04.2018 1:35:31;37;69;0;0;10655;2661;5606;10824;17896;6390;1043;
27.04.2018 1:35:32;41;44;0;0;44507;6727;2506;11536;5315;3848;2498;
27.04.2018 1:35:34;54;29;0;0;18425;7623;6188;5356;5366;3785;2125;
27.04.2018 1:35:35;57;20;0;0;72077;12791;9286;11072;9442;10832;2623;
27.04.2018 1:35:36;35;43;0;0;8314;13640;59633;33287;11653;3845;1746;
27.04.2018 1:35:37;60;63;0;0;9300;6676;14944;6457;13285;3197;2496;
27.04.2018 1:35:38;56;51;0;0;163673;6297;8872;38895;14933;13747;5024;
27.04.2018 1:35:39;48;35;0;0;82855;14233;20488;12325;8701;7904;2555;
27.04.2018 1:35:40;37;24;0;0;81899;9273;8283;6880;10741;4660;3755;
27.04.2018 1:35:41;35;20;0;0;15704;8711;7050;4616;11282;5419;5171;
27.04.2018 1:35:42;43;43;0;0;18284;12861;9657;21723;6162;6591;5734;
27.04.2018 1:35:43;74;48;0;0;1995;1233;9492;7370;9846;3272;2425;
27.04.2018 1:35:47;67;66;0;0;52575;8166;46666;9784;8114;7993;3447;
27.04.2018 1:35:53;51;61;0;0;103659;23598;17878;10832;13354;1640;1518;
27.04.2018 1:35:54;40;53;0;0;117815;9288;23061;12564;9501;1839;3664;
27.04.2018 1:35:56;11;54;0;0;2193;80;1502;1110;538;197;85;
27.04.2018 1:35:58;20;47;0;0;80610;40024;9033;11012;17657;2371;1416;
27.04.2018 1:35:59;24;43;0;0;348144;121898;96735;31115;15481;3931;2618;
27.04.2018 1:36:00;17;61;0;0;81704;49794;17625;15378;5136;2075;730;
27.04.2018 1:36:01;1;74;0;0;85366;24170;69266;4426;6110;1695;4234;
27.04.2018 1:36:02;1;74;0;0;112810;48237;11949;6398;6977;1936;1963;
27.04.2018 1:36:03;4;67;0;0;44435;13793;8823;11656;9614;4979;1570;
27.04.2018 1:36:04;14;69;0;0;31579;28805;7094;3275;6175;1809;3687;
27.04.2018 1:36:05;21;54;0;0;113291;34656;6372;9644;8988;4891;656;
27.04.2018 1:36:06;29;43;0;0;75719;5931;7907;5251;7587;3906;4451;
27.04.2018 1:36:07;10;37;0;0;270294;20042;33669;11449;7575;3629;1701;
27.04.2018 1:36:08;21;26;0;0;54195;21286;9906;12723;20273;2313;2380;
27.04.2018 1:36:09;21;30;0;0;123475;20760;42038;14695;11971;8939;2710;
27.04.2018 1:36:10;17;29;0;0;26054;1166;3294;1143;1947;2511;1375;
27.04.2018 1:36:15;26;53;0;0;23339;27513;11850;3089;3114;1485;528;
27.04.2018 1:36:18;11;74;0;0;22252;14365;47663;3296;4655;3806;1844;
27.04.2018 1:36:20;11;77;0;0;56920;27341;14885;25994;6303;2829;1901;
27.04.2018 1:36:21;23;93;0;0;11275;3745;9173;4379;4938;1754;2969;
27.04.2018 1:36:22;20;87;0;0;91465;88597;20730;36562;6380;6185;1515;
27.04.2018 1:36:23;23;61;0;0;176325;15082;48844;24478;18895;3690;1803;
27.04.2018 1:36:24;23;53;0;0;69105;12071;7867;3385;5678;1524;719;
27.04.2018 1:36:25;10;54;0;0;21505;8947;9803;5571;2225;739;183;
27.04.2018 1:36:26;14;51;0;0;131048;68913;23990;31028;11602;2884;1273;
27.04.2018 1:36:27;16;38;0;0;311404;13923;25264;68969;30427;6123;2429;
27.04.2018 1:36:31;13;38;0;0;134143;34397;9146;11275;8144;5231;4709;
27.04.2018 1:36:33;13;29;0;0;74008;1423;27880;11944;5871;3573;3838;
27.04.2018 1:36:34;24;44;0;0;12509;42177;8645;3025;11314;5206;1356;
27.04.2018 1:36:35;14;70;0;0;213044;119216;98654;24847;14192;11439;2845;
27.04.2018 1:36:36;29;70;0;0;88311;15054;22256;21282;27283;15710;6406;
27.04.2018 1:36:37;43;67;0;0;69119;13176;10867;7336;16803;6947;2788;
27.04.2018 1:36:38;27;41;0;0;162247;24383;9896;10554;7245;3116;2962;
27.04.2018 1:36:39;30;26;0;0;157061;16179;28088;12843;7682;6326;1939;
27.04.2018 1:36:40;17;34;0;0;64415;3614;29676;5928;5726;3961;3326;
27.04.2018 1:36:41;1;23;0;0;257215;21280;7825;17890;11237;7477;4304;
27.04.2018 1:36:42;10;35;0;0;24049;12564;10249;9592;5206;3358;1471;
