DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 16:56:18;0;0;0;0;17730;5961;4942;1548;3515;610;55002;
20.04.2018 16:56:18;54;30;0;0;393994;130629;45177;20032;154371;6959;746225;
20.04.2018 16:56:19;30;29;0;0;61046;40479;31188;9703;19899;3187;98527;
20.04.2018 16:56:22;1;47;0;0;72825;67457;13946;22035;10037;1120;314352;
20.04.2018 16:56:23;7;75;0;0;14266;25418;6264;4059;7083;1517;66438;
20.04.2018 16:56:24;27;64;0;0;284570;122264;24861;141416;62114;9423;1101740;
20.04.2018 16:56:25;35;70;0;0;6243;4452;12300;5595;4380;3855;70187;
20.04.2018 16:56:27;57;74;0;0;39517;13648;35612;1914;14518;1429;86060;
20.04.2018 16:56:28;50;63;0;0;42723;3313;36651;3066;8300;5506;175334;
20.04.2018 16:56:36;30;54;0;0;145756;1755;30128;26159;11017;12200;91153;
20.04.2018 16:56:37;13;21;0;0;54541;5030;5839;3912;5465;4494;15355;
20.04.2018 16:56:38;3;17;0;0;65120;12926;65734;25646;15584;7566;48607;
20.04.2018 16:56:39;13;7;0;0;146939;23548;46788;14353;35743;8831;14617;
20.04.2018 16:56:44;16;23;0;0;16358;7503;1950;3508;1895;2081;130352;
