DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
25.04.2018 16:17:47;74;35;0;0;113426;26472;8692;12884;16574;8306;6970;
25.04.2018 16:17:48;78;50;0;0;12504;9685;7058;10499;6869;2882;6821;
25.04.2018 16:17:49;81;57;0;0;31154;23676;26727;14883;13790;6228;11960;
25.04.2018 16:17:50;66;53;0;0;183563;9684;34524;14125;8215;8731;3186;
25.04.2018 16:17:51;63;51;0;0;61522;8643;6747;10831;6624;4661;4448;
25.04.2018 16:17:52;67;43;0;0;25668;3042;7713;4754;14092;6092;4946;
25.04.2018 16:17:53;64;37;0;0;58402;18722;13409;6615;11423;14774;6576;
25.04.2018 16:17:54;66;47;0;0;83665;36046;15689;5967;7976;5052;4172;
25.04.2018 16:17:55;70;41;0;0;53818;2695;7803;11955;9217;5624;4070;
25.04.2018 16:17:56;63;47;0;0;58372;21706;13031;11192;12340;12404;5598;
25.04.2018 16:17:57;77;47;0;0;8545;5364;5441;8090;13195;2436;3948;
25.04.2018 16:17:58;77;40;0;0;57598;12844;9045;6421;4594;6729;1932;
25.04.2018 16:17:59;67;43;0;0;42233;7091;1575;1977;2376;356;486;
25.04.2018 16:18:00;64;43;0;0;18849;4079;5555;1137;2494;2041;1604;
25.04.2018 16:18:01;50;44;0;0;35141;8768;15632;14039;5840;4259;5050;
25.04.2018 16:18:02;47;40;0;0;23170;1931;2926;3510;1153;722;1213;
25.04.2018 16:18:03;67;44;0;0;6811;4829;1421;5898;8731;6749;6778;
25.04.2018 16:18:04;78;41;0;0;19006;7889;5838;8764;9443;6663;5667;
25.04.2018 16:18:05;83;41;0;0;31721;11275;6781;3266;7725;11146;4180;
25.04.2018 16:18:06;84;54;0;0;197587;93943;50219;13006;17071;7390;6217;
25.04.2018 16:18:07;63;56;0;0;87621;18014;21241;19261;6917;16320;9621;
25.04.2018 16:18:08;66;64;0;0;15013;8318;35893;5638;25194;2550;5229;
25.04.2018 16:18:09;63;48;0;0;19245;475;1147;2387;2212;770;1400;
25.04.2018 16:18:10;67;47;0;0;38158;20731;13231;15295;7397;5428;6239;
25.04.2018 16:18:11;70;47;0;0;86341;35653;4406;11966;9324;4936;7216;
25.04.2018 16:18:12;53;35;0;0;235792;44032;23846;18985;13650;6715;3228;
