DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
26.04.2018 23:59:52;0;0;0;0;116444;84026;15499;50216;18893;20557;5909;
26.04.2018 23:59:53;0;0;0;0;12843;4386;2669;3974;2402;1184;784;
26.04.2018 23:59:54;0;0;0;0;45449;11771;6914;5059;6216;2110;1085;
26.04.2018 23:59:55;51;30;0;0;183956;5769;35433;18135;38474;16022;18694;
26.04.2018 23:59:56;50;40;0;0;51117;13463;15066;5924;7914;6822;1552;
26.04.2018 23:59:57;61;54;0;0;21111;12504;7290;6024;7077;3741;1053;
26.04.2018 23:59:58;48;37;0;0;250693;5186;16117;35755;21502;14390;3755;
26.04.2018 23:59:59;17;37;0;0;644952;69630;26994;42910;23972;28212;4806;
27.04.2018 0:00:00;20;34;0;0;93501;6195;30443;12465;9229;5694;1188;
27.04.2018 0:00:01;23;30;0;0;52291;55461;40454;107270;27085;16291;4801;
27.04.2018 0:00:02;41;69;0;0;20122;12170;11768;4685;4128;2020;540;
27.04.2018 0:00:03;57;91;0;0;202136;42968;102238;65461;25805;7165;4393;
27.04.2018 0:00:04;78;80;0;0;20089;2978;2998;12407;5111;6116;394;
27.04.2018 0:00:05;78;80;0;0;40586;22458;7979;9184;13114;3593;986;
27.04.2018 0:00:06;74;53;0;0;84660;13068;880;5581;8055;3968;1049;
27.04.2018 0:00:07;75;41;0;0;184091;30475;47792;90087;23068;20353;5479;
27.04.2018 0:00:08;80;69;0;0;42420;35976;66121;39706;37210;19810;5534;
27.04.2018 0:00:09;77;57;0;0;18549;2833;2787;1460;3428;1275;384;
27.04.2018 0:00:10;78;78;0;0;143968;20174;87974;56128;24417;13059;7373;
