DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 18:26:07;0;0;0;0;58847;10926;16911;49232;23939;13236;15518;
27.04.2018 18:26:08;0;0;0;0;47876;3736;22551;9634;44674;18304;5727;
27.04.2018 18:26:09;0;0;0;0;61519;7134;13243;41957;35284;10686;3910;
27.04.2018 18:26:10;34;53;0;0;8562;11735;21533;49366;13027;21398;4389;
27.04.2018 18:26:11;34;77;0;0;19533;32364;33949;20772;29913;24838;3155;
27.04.2018 18:26:12;29;80;0;0;37049;10308;13027;23900;19590;8313;9541;
27.04.2018 18:26:13;14;90;0;0;67739;12591;35604;15894;26359;12840;8407;
27.04.2018 18:26:14;4;91;0;0;18658;11376;21951;25786;10687;30120;6152;
27.04.2018 18:26:15;1;56;0;0;58528;212;9689;17339;11985;26603;10225;
27.04.2018 18:26:16;1;61;0;0;53051;8369;34950;35753;15998;31894;4999;
27.04.2018 18:26:17;1;50;0;0;203562;35295;11566;23201;18026;17371;4388;
27.04.2018 18:26:18;1;37;0;0;120945;18318;22786;16968;19342;49418;8912;
27.04.2018 18:26:19;10;47;0;0;20743;6949;2027;9292;12837;2938;806;
27.04.2018 18:26:20;21;43;0;0;62412;19677;16987;21203;16081;16738;7439;
27.04.2018 18:26:23;30;56;0;0;27842;9686;6282;4985;4809;5706;485;
27.04.2018 18:26:26;23;77;0;0;11696;18656;5020;2578;2832;4197;1163;
27.04.2018 18:26:27;1;81;0;0;64811;17458;6955;7545;3552;2451;2682;
27.04.2018 18:26:28;1;84;0;0;201554;73338;86387;53211;33202;56985;37007;
27.04.2018 18:26:29;4;88;0;0;30209;10103;28234;23846;15806;21088;3693;
27.04.2018 18:26:30;30;60;0;0;102098;16091;20671;34006;48578;18159;12357;
27.04.2018 18:26:31;41;47;0;0;292659;22383;27711;76864;29737;21817;27155;
27.04.2018 18:26:32;34;30;0;0;240320;34052;20935;25358;16065;15962;13840;
27.04.2018 18:26:33;23;27;0;0;36227;6571;12931;4233;6575;3658;6039;
27.04.2018 18:26:34;10;37;0;0;11705;4620;503;681;2277;1211;822;
27.04.2018 18:26:35;4;51;0;0;95960;27855;7025;10141;7221;5591;1405;
27.04.2018 18:26:36;8;60;0;0;379251;118039;23345;24662;33783;9758;5961;
27.04.2018 18:26:37;17;60;0;0;36516;30834;8138;33388;18986;11483;11303;
27.04.2018 18:26:38;4;48;0;0;321937;9240;40474;18444;18286;32357;9736;
27.04.2018 18:26:39;23;60;0;0;37159;55298;16415;32894;22700;13512;6834;
27.04.2018 18:26:40;44;64;0;0;26669;8224;17654;13537;14347;7503;2820;
27.04.2018 18:26:41;40;61;0;0;165286;58893;43662;69058;54627;40423;20407;
27.04.2018 18:26:43;51;84;0;0;24331;13812;12263;6067;5325;3420;3229;
27.04.2018 18:26:44;37;91;0;0;12911;27536;6932;6195;3240;9926;946;
27.04.2018 18:26:45;11;74;0;0;741477;36064;106910;137392;46006;25144;12767;
27.04.2018 18:26:46;4;75;0;0;250352;89095;47188;25114;47235;30197;13281;
27.04.2018 18:26:47;11;57;0;0;48566;8972;9201;4314;11678;10342;1798;
27.04.2018 18:26:48;34;30;0;0;87220;12236;22648;28122;37517;30547;8491;
27.04.2018 18:26:49;47;30;0;0;27450;2350;6399;8402;6910;4462;4609;
27.04.2018 18:26:50;37;24;0;0;190611;17759;18922;20035;16886;20602;16520;
27.04.2018 18:26:51;17;27;0;0;43879;9129;9157;9945;6125;4143;487;
27.04.2018 18:26:52;20;11;0;0;171224;6121;14834;29309;18314;6535;1575;
