DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 17:08:08;53;64;0;0;4993;362;1411;969;568;164;266;
20.04.2018 17:08:09;40;70;0;0;190165;106745;51135;15888;8713;2170;652;
20.04.2018 17:08:10;20;66;0;0;84338;10738;16279;40986;8900;4279;3143;
20.04.2018 17:08:11;10;56;0;0;132739;6825;10626;9246;7897;5397;5201;
20.04.2018 17:08:13;11;44;0;0;11718;1175;185;2028;1294;815;1564;
20.04.2018 17:08:15;20;48;0;0;5933;7105;3759;4408;1245;462;727;
20.04.2018 17:08:16;41;56;0;0;822;789;1430;587;3365;1388;2265;
20.04.2018 17:08:17;60;67;0;0;3094;874;1260;979;2072;1265;1525;
20.04.2018 17:08:18;56;74;0;0;26113;1658;3391;1566;2119;1036;2157;
20.04.2018 17:08:19;61;61;0;0;11979;4325;1207;2735;2120;2068;2383;
20.04.2018 17:08:20;47;63;0;0;6110;854;4850;1859;2307;4120;4780;
20.04.2018 17:08:21;47;60;0;0;6730;1699;2953;8807;4306;5057;2181;
20.04.2018 17:08:22;44;70;0;0;266832;116156;36820;31542;22576;73680;35962;
20.04.2018 17:08:23;37;64;0;0;105043;15711;4347;6309;6595;7944;5179;
20.04.2018 17:08:24;21;48;0;0;475394;5352;50024;34963;18975;40021;22930;
20.04.2018 17:08:25;21;50;0;0;4806;1202;1166;1140;2928;4310;3943;
20.04.2018 17:08:26;37;53;0;0;1604;1725;2922;3054;2436;1586;1316;
20.04.2018 17:08:27;40;57;0;0;51983;12177;8308;20168;5606;11554;15843;
20.04.2018 17:08:28;50;70;0;0;22952;6450;7805;6834;4466;7822;11243;
20.04.2018 17:08:29;54;75;0;0;5547;3575;4382;8403;9277;5125;5700;
20.04.2018 17:08:30;53;69;0;0;105576;57616;29010;41178;51742;13062;18917;
20.04.2018 17:08:31;56;84;0;0;46810;105291;9044;10959;18250;12113;17480;
20.04.2018 17:08:32;54;87;0;0;381686;128803;76671;25360;54054;58220;39048;
20.04.2018 17:08:33;43;83;0;0;204358;51024;35566;48667;46943;24626;17084;
20.04.2018 17:08:34;37;83;0;0;209654;82448;31240;29576;43132;25198;23438;
20.04.2018 17:08:35;37;77;0;0;48692;57982;1889;15766;11673;11317;3856;
20.04.2018 17:08:36;48;74;0;0;34695;10935;9607;11063;23893;12265;8499;
20.04.2018 17:08:37;51;80;0;0;43085;46944;7985;37696;22091;22173;10692;
20.04.2018 17:08:38;54;78;0;0;703016;140546;192126;92109;208586;92408;23141;
20.04.2018 17:08:39;61;67;0;0;72810;20671;9973;15072;28045;13154;21506;
20.04.2018 17:08:40;50;64;0;0;319646;56350;31967;11115;39612;27297;22621;
20.04.2018 17:08:41;48;69;0;0;1348881;2515170;374987;1425187;873264;605788;383019;
20.04.2018 17:08:42;47;78;0;0;92421;79199;161239;179414;53367;65940;95142;
20.04.2018 17:08:43;40;97;0;0;77137;208661;62855;21610;38909;46271;44956;
20.04.2018 17:08:44;47;100;0;0;45058;11658;20404;3420;17276;13777;18116;
20.04.2018 17:08:45;40;90;0;0;288026;30986;52458;28161;29935;135749;58447;
20.04.2018 17:08:46;34;67;0;0;280465;14489;14394;5286;24565;31133;13160;
20.04.2018 17:08:47;24;44;0;0;956769;104801;76453;58498;50421;51820;90022;
20.04.2018 17:08:48;21;44;0;0;9828;7128;2348;6781;2368;1642;1651;
20.04.2018 17:08:49;30;48;0;0;41061;17490;8244;16429;17481;17109;7008;
20.04.2018 17:08:50;44;54;0;0;82915;1082;31316;34410;45106;69173;24830;
20.04.2018 17:08:51;53;75;0;0;59934;50492;73280;29363;19273;23858;19730;
20.04.2018 17:08:52;35;61;0;0;743982;51335;56221;31902;11200;16232;6252;
20.04.2018 17:08:53;16;63;0;0;435644;118540;69225;47244;16807;32099;54190;
20.04.2018 17:08:54;8;75;0;0;17463;13174;10520;11668;5465;5957;4224;
20.04.2018 17:08:55;1;74;0;0;54703;28002;50844;9564;5125;29318;13162;
20.04.2018 17:08:56;16;84;0;0;37777;16990;2985;6009;6274;2638;6883;
20.04.2018 17:08:57;21;88;0;0;38070;14344;13816;9274;4034;1380;2027;
20.04.2018 17:08:58;21;91;0;0;65709;41968;25272;4605;15912;4652;8801;
20.04.2018 17:08:59;35;78;0;0;27927;7293;4392;5863;6907;6949;5803;
20.04.2018 17:09:00;44;84;0;0;6250;7235;7282;7960;8064;2763;1398;
20.04.2018 17:09:01;51;81;0;0;89771;29749;25744;26572;19373;14836;13401;
20.04.2018 17:09:02;56;67;0;0;154375;22622;37067;41118;41049;19436;14318;
20.04.2018 17:09:03;51;78;0;0;83640;15533;80871;18263;17290;13137;18819;
20.04.2018 17:09:04;50;80;0;0;17064;21762;26906;16897;21464;6754;4770;
