DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 18:24:28;0;0;0;0;208646;16611;21025;21533;30002;6619;1724;
27.04.2018 18:24:29;0;0;0;0;241182;155650;82786;184544;152283;33538;7492;
27.04.2018 18:24:30;0;0;0;0;22884;23916;5779;4908;9094;4161;2008;
27.04.2018 18:24:31;50;30;0;0;56679;5070;5719;17823;20945;4004;1861;
27.04.2018 18:24:32;30;23;0;0;121741;6651;8989;11394;9600;12898;1936;
27.04.2018 18:24:33;30;30;0;0;49184;32072;8358;17378;14627;13383;5868;
27.04.2018 18:24:34;26;26;0;0;47691;5574;6043;15198;7237;4041;5174;
27.04.2018 18:24:35;26;43;0;0;24889;9665;29312;32020;20066;16804;2329;
27.04.2018 18:24:36;44;60;0;0;21801;12637;6107;5545;6873;3085;1923;
27.04.2018 18:24:37;41;56;0;0;23060;4818;6599;2471;5282;997;433;
27.04.2018 18:24:38;41;69;0;0;12277;7671;3157;2203;3040;1677;140;
