DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
25.04.2018 16:18:27;90;50;0;0;10841;3555;2471;1846;2366;846;557;
25.04.2018 16:18:27;83;41;0;0;38948;14748;3251;6551;7166;4100;2447;
25.04.2018 16:18:28;77;37;0;0;129858;18297;10423;7408;13805;9461;1929;
25.04.2018 16:18:29;56;48;0;0;23589;2133;17876;7131;3780;2105;2109;
25.04.2018 16:18:30;48;53;0;0;22972;10356;5899;1268;1722;971;901;
25.04.2018 16:18:31;47;60;0;0;36874;17457;33405;13759;9131;3386;1613;
25.04.2018 16:18:32;53;66;0;0;18018;3790;7402;3297;5715;1974;1036;
25.04.2018 16:18:33;61;74;0;0;7138;7248;13320;2604;7237;3661;2154;
25.04.2018 16:18:34;61;77;0;0;29474;21147;12912;5288;2892;3595;1446;
25.04.2018 16:18:35;61;77;0;0;18865;10813;13125;4045;4282;4510;1266;
25.04.2018 16:18:36;50;83;0;0;10578;5073;6310;3522;905;1318;623;
25.04.2018 16:18:37;48;81;0;0;9361;16307;2011;4044;5745;3918;4693;
25.04.2018 16:18:38;50;75;0;0;75263;5530;34164;8496;6720;4923;2747;
25.04.2018 16:18:39;51;66;0;0;34023;7455;7810;4304;6366;3664;3915;
25.04.2018 16:18:40;54;63;0;0;15954;6035;5021;2779;1738;1042;1116;
25.04.2018 16:18:41;43;54;0;0;127406;29318;25185;6559;9182;7607;3248;
25.04.2018 16:18:42;51;64;0;0;7749;12980;12125;5927;6157;2925;4023;
25.04.2018 16:18:43;47;57;0;0;28609;3536;2448;1118;2376;1535;774;
25.04.2018 16:18:44;40;48;0;0;46181;5291;3900;1349;1381;817;692;
25.04.2018 16:18:45;47;51;0;0;24851;2800;16334;5259;4334;6529;7191;
25.04.2018 16:18:46;47;44;0;0;4176;1685;2237;1225;1614;1115;494;
25.04.2018 16:18:47;53;61;0;0;7275;14498;10744;10737;5129;8204;1740;
25.04.2018 16:18:48;64;70;0;0;33729;16755;7073;7609;7597;7381;2913;
