DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
25.04.2018 17:44:05;64;47;0;0;78222;33957;20303;31392;18308;28680;21670;
25.04.2018 17:44:05;64;54;0;0;253515;187517;40639;136238;24442;81614;42659;
25.04.2018 17:44:05;63;63;0;0;1822520;471484;100035;212469;263109;256991;143730;
25.04.2018 17:44:05;41;53;0;0;778694;364364;83973;148338;98691;143818;122909;
25.04.2018 17:44:05;41;53;0;0;778694;364364;83973;148338;98691;143818;122909;
25.04.2018 17:44:05;41;53;0;0;778694;364364;83973;148338;98691;143818;122909;
25.04.2018 17:44:06;41;53;0;0;778694;364364;83973;148338;98691;143818;122909;
25.04.2018 17:44:06;41;70;0;0;17723;15667;2242;1212;2422;2334;4614;
25.04.2018 17:44:07;41;66;0;0;393371;16067;38080;22642;62197;58880;50226;
25.04.2018 17:44:08;47;57;0;0;293218;58492;31048;37577;44315;47293;17811;
25.04.2018 17:44:09;43;60;0;0;187134;47412;67589;51090;20788;75158;33263;
25.04.2018 17:44:10;40;43;0;0;1564996;161755;223873;86914;91294;115251;190834;
25.04.2018 17:44:11;37;64;0;0;92440;67235;37598;10093;21754;26618;15743;
25.04.2018 17:44:12;30;69;0;0;169989;45605;18110;25434;16889;51909;30900;
25.04.2018 17:44:13;34;54;0;0;249054;11646;31895;27748;23205;17826;22583;
25.04.2018 17:44:14;26;44;0;0;47628;2934;1341;1232;1323;3605;899;
25.04.2018 17:44:15;17;40;0;0;29573;2518;18744;14745;2685;4440;6336;
25.04.2018 17:44:16;21;50;0;0;102429;35018;72689;25040;19347;22674;11136;
25.04.2018 17:44:17;26;64;0;0;21938;8568;8841;6444;5519;8094;7048;
25.04.2018 17:44:18;30;80;0;0;444509;42183;112522;13689;25298;36216;35524;
25.04.2018 17:44:19;41;90;0;0;18859;28384;20127;10268;8622;13548;10121;
25.04.2018 17:44:20;51;88;0;0;70665;49133;81486;86107;47544;43028;23395;
25.04.2018 17:44:21;47;75;0;0;919263;121086;56882;23180;96296;249074;119149;
25.04.2018 17:44:22;43;77;0;0;356592;30258;108849;18393;16898;26725;33413;
25.04.2018 17:44:23;38;61;0;0;384624;14799;121385;41754;37375;37728;17308;
