DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 18:04:27;0;0;0;0;29718;20451;10469;9497;14500;3557;861;
27.04.2018 18:04:36;0;0;0;0;15317;19441;4236;2784;3665;1808;1434;
27.04.2018 18:04:37;0;0;0;0;215560;26006;45734;19877;9099;8907;10681;
27.04.2018 18:04:38;0;0;0;0;59972;21826;82078;13597;8905;3585;7799;
27.04.2018 18:04:39;51;38;0;0;25007;11815;10032;6393;11873;3045;9992;
27.04.2018 18:04:40;57;40;0;0;45031;11920;21039;8367;11111;2940;6434;
27.04.2018 18:04:41;63;37;0;0;34691;3913;14551;7034;5622;6603;7522;
27.04.2018 18:04:42;70;41;0;0;19740;15431;13137;10436;7994;3010;12181;
27.04.2018 18:04:43;69;48;0;0;5550;8021;11637;14629;4988;4208;15259;
27.04.2018 18:04:44;70;29;0;0;37745;4284;4333;8314;7989;3355;9321;
27.04.2018 18:04:45;67;14;0;0;51248;9605;1881;29613;5364;4685;12989;
27.04.2018 18:04:46;60;4;0;0;96563;16540;18917;6839;9480;3098;6725;
27.04.2018 18:04:47;44;1;0;0;89337;17554;38591;18354;7138;6273;14439;
27.04.2018 18:04:48;35;17;0;0;43780;18057;21447;20295;5442;8966;13264;
27.04.2018 18:04:49;37;50;0;0;17325;31390;7055;9600;5220;2722;10505;
27.04.2018 18:04:50;41;60;0;0;16944;7040;8058;2935;3569;1620;9032;
27.04.2018 18:04:52;50;75;0;0;25083;40829;17015;17751;8681;1250;9430;
27.04.2018 18:04:53;56;77;0;0;29679;10662;20528;20380;6910;3401;10735;
27.04.2018 18:04:54;60;69;0;0;53448;53681;8012;13038;17780;3018;6929;
27.04.2018 18:04:55;64;64;0;0;30999;12977;17020;17194;9487;6437;14592;
27.04.2018 18:04:56;69;57;0;0;21822;20483;8295;7104;9600;2946;13914;
27.04.2018 18:04:57;75;57;0;0;29448;15201;21419;17776;13073;4398;11112;
27.04.2018 18:04:58;70;53;0;0;109878;56671;28949;23376;21243;2557;927;
27.04.2018 18:04:59;63;51;0;0;161812;40422;36940;16879;16989;3947;3217;
27.04.2018 18:05:00;48;24;0;0;226507;5539;15908;27346;10347;8927;5992;
27.04.2018 18:05:01;51;21;0;0;92445;33046;16698;20733;30903;6200;1960;
27.04.2018 18:05:02;40;26;0;0;425743;35287;47333;14388;36823;19094;15064;
27.04.2018 18:05:03;43;29;0;0;611280;13491;57009;54792;37453;25125;20453;
27.04.2018 18:05:04;37;29;0;0;29989;6057;6936;3582;5113;5639;3841;
27.04.2018 18:05:05;43;17;0;0;19047;7269;4249;5195;2456;4109;2285;
27.04.2018 18:05:06;50;40;0;0;42909;40373;44606;19807;16618;6948;10108;
27.04.2018 18:05:07;47;50;0;0;468753;11831;110850;22759;25317;5175;6901;
27.04.2018 18:05:08;38;67;0;0;16210;21847;8029;1617;2067;931;1270;
27.04.2018 18:05:09;47;67;0;0;37140;3265;20180;8410;10911;8586;9644;
27.04.2018 18:05:10;43;66;0;0;27688;21980;15623;10114;6442;4542;16650;
27.04.2018 18:05:12;61;77;0;0;36345;25967;7631;11983;20417;6134;9201;
27.04.2018 18:05:13;64;56;0;0;69099;22024;5871;9829;6327;8772;10874;
27.04.2018 18:05:14;74;60;0;0;11146;11046;6267;9641;12145;5615;13992;
27.04.2018 18:05:15;66;54;0;0;49765;5026;38391;10777;3977;6914;8307;
27.04.2018 18:05:16;60;61;0;0;12645;18098;12249;11786;6350;13814;7603;
27.04.2018 18:05:17;70;61;0;0;33661;11260;3891;6984;10161;9057;11519;
27.04.2018 18:05:18;51;69;0;0;13975;11535;10731;3026;2084;1869;1898;
27.04.2018 18:05:19;50;77;0;0;40895;37943;15859;8953;3334;821;1325;
