DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 15:56:36;26;44;0;0;164875;60813;18480;8341;19749;30853;19256;
20.04.2018 15:56:36;29;35;0;0;91518;10305;11229;25614;18492;15946;20157;
20.04.2018 15:56:37;29;30;0;0;170081;6088;9040;11104;11495;23631;13211;
20.04.2018 15:56:38;27;21;0;0;191072;3334;8456;2724;13859;9268;14987;
20.04.2018 15:56:39;27;11;0;0;775507;69152;67206;105715;65726;124393;127623;
20.04.2018 15:56:40;27;26;0;0;23590;31746;4301;23993;9648;7093;14398;
20.04.2018 15:56:41;40;43;0;0;157410;48182;67324;58088;67356;64563;83786;
20.04.2018 15:56:42;50;61;0;0;100313;38030;16705;16927;39091;48453;18909;
20.04.2018 15:56:43;56;80;0;0;41529;56928;30914;21141;23406;38992;15958;
20.04.2018 15:56:44;54;69;0;0;304555;21952;61679;32425;57026;78861;91037;
20.04.2018 15:56:45;44;70;0;0;428503;232485;32953;55904;41387;25261;35160;
20.04.2018 15:56:46;40;74;0;0;93597;46344;12344;15044;21192;19851;28676;
20.04.2018 15:56:47;41;61;0;0;26184;7192;4564;4951;8557;8605;3992;
20.04.2018 15:56:48;40;61;0;0;48169;7439;5115;2472;7429;5000;5939;
20.04.2018 15:56:49;48;63;0;0;84329;74273;9409;17617;27051;31750;49257;
20.04.2018 15:56:50;48;69;0;0;64257;65421;6564;9981;18673;28999;24944;
20.04.2018 15:56:51;26;57;0;0;337726;6865;31077;16913;7142;25508;18851;
20.04.2018 15:56:52;29;67;0;0;101770;57044;11127;6813;28665;21956;22124;
20.04.2018 15:56:53;16;56;0;0;96239;19858;2848;10392;4588;5944;6868;
20.04.2018 15:56:54;11;34;0;0;59329;1386;4056;1477;5017;4659;5583;
20.04.2018 15:56:55;34;48;0;0;38007;11630;18355;6215;16226;29856;20524;
20.04.2018 15:56:56;26;48;0;0;220811;109461;25836;17911;27464;47918;18090;
20.04.2018 15:56:57;30;43;0;0;7820;845;329;454;617;981;676;
20.04.2018 15:56:58;37;54;0;0;35153;7955;1785;8263;5432;7040;10855;
20.04.2018 15:56:59;17;44;0;0;322989;54029;10431;5894;10997;18871;13131;
20.04.2018 15:57:00;13;40;0;0;11164;2979;564;73;583;1361;1137;
20.04.2018 15:57:01;20;57;0;0;116973;23326;106508;7037;36995;32061;21648;
20.04.2018 15:57:02;20;56;0;0;82574;6397;12220;18233;13822;20910;15084;
20.04.2018 15:57:03;30;67;0;0;26747;15412;7858;3112;5806;2336;2498;
20.04.2018 15:57:04;47;64;0;0;103583;25047;11590;19492;30343;29896;28880;
20.04.2018 15:57:05;38;50;0;0;169134;30055;8328;33517;13090;7934;27076;
