DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 17:05:33;35;74;0;0;33475;20650;16148;8173;10744;9128;4041;
20.04.2018 17:05:33;57;83;0;0;10409;2840;2274;2752;8070;12643;2192;
20.04.2018 17:05:34;63;83;0;0;15857;9403;4267;3823;5832;3388;4191;
20.04.2018 17:05:35;56;66;0;0;62340;815;9536;6890;13183;2492;2020;
20.04.2018 17:05:36;63;60;0;0;22276;8574;8468;6395;14276;5680;2930;
20.04.2018 17:05:37;60;64;0;0;18809;13890;3324;22534;10673;4072;3468;
20.04.2018 17:05:38;56;61;0;0;35629;7302;9848;3448;7105;4967;2626;
20.04.2018 17:05:39;64;74;0;0;4476;6718;5817;15380;9445;9003;5285;
20.04.2018 17:05:40;70;70;0;0;6448;3079;3720;2711;9592;1974;1977;
20.04.2018 17:05:41;75;75;0;0;17121;9299;11647;14880;14994;3241;4392;
20.04.2018 17:05:42;77;75;0;0;15931;1434;7782;2852;4740;2267;2715;
20.04.2018 17:05:43;69;78;0;0;6012;3597;4015;4641;3112;2809;5090;
20.04.2018 17:05:44;50;78;0;0;17613;739;13244;16159;2531;6243;6075;
20.04.2018 17:05:45;50;74;0;0;10217;3317;2186;4351;5463;3325;5140;
20.04.2018 17:05:46;48;70;0;0;21232;8228;3388;6954;5750;2946;4681;
20.04.2018 17:05:47;53;64;0;0;6362;786;3249;3821;4221;5023;2247;
20.04.2018 17:05:48;61;74;0;0;6903;11023;9673;9761;5270;5024;3075;
20.04.2018 17:05:49;60;78;0;0;17804;5444;9347;6412;8448;2370;2067;
20.04.2018 17:05:50;50;83;0;0;22611;4792;8593;1771;2044;2142;685;
20.04.2018 17:05:51;41;78;0;0;94991;12387;5491;4639;14843;19558;13002;
20.04.2018 17:05:52;48;63;0;0;33976;10912;15265;54271;29240;17918;13121;
20.04.2018 17:05:53;44;53;0;0;265054;36038;21522;59682;53088;16170;20836;
20.04.2018 17:05:54;44;34;0;0;637442;41124;17844;119847;42658;55336;30578;
20.04.2018 17:05:55;41;38;0;0;20541;5308;1889;4280;2375;1891;1786;
20.04.2018 17:05:56;41;35;0;0;17804;2571;2646;5003;9908;3381;826;
20.04.2018 17:05:58;34;40;0;0;896443;137234;150366;213059;74691;124051;120641;
20.04.2018 17:05:59;38;53;0;0;578829;56003;184558;160779;104203;124730;112210;
20.04.2018 17:06:00;38;69;0;0;283862;624520;315850;303325;110497;135533;84105;
20.04.2018 17:06:01;27;70;0;0;143635;28217;9464;34216;22735;32596;24168;
20.04.2018 17:06:02;26;69;0;0;151583;20779;12999;4469;8410;17175;8149;
20.04.2018 17:06:03;23;61;0;0;126259;3003;16465;13153;11863;8509;4187;
20.04.2018 17:06:04;23;50;0;0;23094;10348;2241;3107;3467;5316;5306;
20.04.2018 17:06:05;11;41;0;0;892790;54355;23404;27566;29235;8501;6328;
20.04.2018 17:06:06;23;40;0;0;12449;132;3353;1429;3419;2613;3077;
20.04.2018 17:06:07;16;50;0;0;207633;38938;35272;20300;10667;12363;5503;
20.04.2018 17:06:08;17;63;0;0;8351;34933;17164;15157;6655;2362;3642;
20.04.2018 17:06:09;26;88;0;0;121665;88176;65822;28815;23329;16436;7285;
20.04.2018 17:06:10;24;91;0;0;39176;11869;8869;18172;11701;7960;2561;
20.04.2018 17:06:11;29;83;0;0;130639;7806;12091;8405;10526;10113;5097;
20.04.2018 17:06:12;35;66;0;0;21594;6606;4695;6367;6908;3770;3552;
20.04.2018 17:06:13;47;63;0;0;12758;13427;3700;5194;9686;9470;9845;
20.04.2018 17:06:14;44;67;0;0;18349;6567;10819;8132;5457;6576;6229;
20.04.2018 17:06:15;38;69;0;0;399078;29244;32418;24151;13484;22367;26057;
20.04.2018 17:06:16;23;60;0;0;28887;3325;662;1395;1211;1176;999;
20.04.2018 17:06:17;13;44;0;0;27448;2884;1806;4090;3160;1590;4167;
20.04.2018 17:06:18;16;48;0;0;13303;20440;7973;11535;10131;24499;9422;
20.04.2018 17:06:19;43;56;0;0;14238;3263;10577;5256;19938;5535;7892;
20.04.2018 17:06:20;54;75;0;0;60347;52505;10069;15612;18460;15567;7002;
20.04.2018 17:06:21;70;84;0;0;3493;7401;2705;12325;9224;5590;3765;
20.04.2018 17:06:22;80;75;0;0;8982;3918;1970;4539;8109;3286;4405;
20.04.2018 17:06:23;84;60;0;0;15920;2905;1150;14823;24760;7568;8067;
20.04.2018 17:06:24;100;50;0;0;7327;1433;7696;5361;16386;9977;10037;
20.04.2018 17:06:25;91;51;0;0;14885;1209;9098;3579;6549;19675;6288;
20.04.2018 17:06:26;91;51;0;0;23123;12200;7583;20630;23014;6323;10564;
20.04.2018 17:06:27;69;74;0;0;18756;7786;9162;2829;3511;5851;5509;
20.04.2018 17:06:28;57;84;0;0;10724;5696;20539;9582;9694;21119;9883;
20.04.2018 17:06:29;61;84;0;0;22103;4415;18337;17317;15603;7986;8297;
