DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 19:24:00;21;13;0;0;982433;6933;52673;79848;25957;38235;98354;
27.04.2018 19:24:01;30;1;0;0;147772;7693;9926;28690;53051;34180;89887;
27.04.2018 19:24:02;41;1;0;0;24591;14910;6484;15463;25673;47058;27747;
27.04.2018 19:24:03;48;14;0;0;24887;7311;9914;37340;18916;35346;35613;
27.04.2018 19:24:04;80;16;0;0;15369;2109;2567;36226;30902;32677;36290;
27.04.2018 19:24:05;90;27;0;0;15643;2848;19644;33837;41631;70598;42395;
27.04.2018 19:24:06;84;23;0;0;308745;16047;62503;36606;97364;52970;20726;
27.04.2018 19:24:07;75;23;0;0;58138;13351;4442;3826;10256;12100;10483;
27.04.2018 19:24:08;53;51;0;0;20581;13029;6147;3427;3941;4829;12510;
27.04.2018 19:24:09;43;57;0;0;35782;15692;23450;41470;20468;59791;34339;
