DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 9:55:47;0;0;0;0;25220;9225;11744;5211;5775;6354;1776;
27.04.2018 9:55:48;0;0;0;0;125858;38861;12237;9264;7293;10019;3404;
27.04.2018 9:55:49;0;0;0;0;40423;17351;8176;6994;5004;16268;1362;
27.04.2018 9:55:50;53;35;0;0;36535;9216;9369;4480;8903;3392;2915;
27.04.2018 9:55:51;69;57;0;0;10230;18336;6913;5890;6893;4051;1101;
27.04.2018 9:55:52;88;74;0;0;7305;7719;6291;4061;4082;4153;3437;
27.04.2018 9:55:53;93;69;0;0;59418;35005;4294;13038;9568;4801;3416;
27.04.2018 9:55:54;100;70;0;0;16373;5647;7948;3284;9465;2519;2210;
27.04.2018 9:55:55;93;53;0;0;33675;22009;4766;7202;7628;2977;2751;
27.04.2018 9:55:56;91;53;0;0;15254;11619;16912;8618;8370;4007;1297;
27.04.2018 9:55:57;100;38;0;0;23889;2319;5156;15126;7430;3840;2716;
27.04.2018 9:55:58;96;64;0;0;5595;9937;11062;7808;5065;2830;2858;
27.04.2018 9:55:59;93;63;0;0;35768;15912;5764;4776;6564;2666;1878;
27.04.2018 9:56:00;80;44;0;0;127310;28079;28746;29877;15996;4668;928;
27.04.2018 9:56:01;70;87;0;0;27291;29314;52426;28413;14650;10744;5889;
27.04.2018 9:56:02;67;48;0;0;94584;19070;4773;6721;20181;13814;11929;
27.04.2018 9:56:03;77;66;0;0;18292;15167;22788;10678;9383;6141;3291;
27.04.2018 9:56:05;88;88;0;0;6104;9873;3164;3959;3687;3057;2421;
27.04.2018 9:56:06;88;75;0;0;51459;19928;21233;5534;11569;7012;6153;
27.04.2018 9:56:07;93;100;0;0;7222;8167;22005;7681;8737;7025;3401;
27.04.2018 9:56:08;78;100;0;0;45090;56035;15821;13823;8032;4760;2411;
27.04.2018 9:56:09;75;100;0;0;12141;3349;13043;2400;4149;2787;1289;
27.04.2018 9:56:10;74;93;0;0;41639;11929;14883;31622;7723;1782;968;
27.04.2018 9:56:11;54;66;0;0;62926;13698;12258;6701;5678;6833;2937;
27.04.2018 9:56:12;53;57;0;0;52650;33743;16333;7346;6217;4095;1861;
27.04.2018 9:56:13;63;43;0;0;12230;5951;3300;4819;4227;3670;1185;
27.04.2018 9:56:14;78;40;0;0;19248;3198;6283;11603;5227;2287;2453;
27.04.2018 9:56:15;69;53;0;0;27422;33615;16076;9215;2945;2261;1500;
27.04.2018 9:56:16;44;75;0;0;51872;33058;38796;13594;4351;5831;713;
27.04.2018 9:56:17;23;63;0;0;158371;41114;7429;21880;11691;7363;2205;
27.04.2018 9:56:18;3;51;0;0;258368;3603;9084;11827;14191;4946;1270;
27.04.2018 9:56:19;24;41;0;0;32359;6415;18929;7393;8892;13222;5068;
27.04.2018 9:56:20;60;44;0;0;12234;22725;4989;5264;12019;4782;3407;
27.04.2018 9:56:21;61;51;0;0;61146;5941;6087;8923;4264;1906;2216;
27.04.2018 9:56:22;81;77;0;0;17126;2531;8500;7155;4747;6952;1595;
27.04.2018 9:56:23;91;77;0;0;22070;14153;5795;6505;11448;3410;3962;
27.04.2018 9:56:25;70;67;0;0;22309;5074;9049;2168;3084;1898;527;
27.04.2018 9:56:26;96;94;0;0;2553;14232;11098;2620;7691;17406;2713;
27.04.2018 9:56:27;100;100;0;0;15334;28850;15241;18058;12894;2496;3532;
27.04.2018 9:56:28;80;88;0;0;69950;17150;6836;24721;6782;4512;2700;
27.04.2018 9:56:29;91;81;0;0;38778;10342;12685;10837;13071;6463;4738;
27.04.2018 9:56:30;93;64;0;0;29582;16405;13498;14054;20682;8705;6246;
27.04.2018 9:56:31;64;48;0;0;83727;11826;7107;4451;3700;4882;3996;
27.04.2018 9:56:32;60;54;0;0;71051;16894;15404;3785;5307;9951;1404;
27.04.2018 9:56:33;1;56;0;0;184530;7498;29324;16089;7341;8459;4024;
27.04.2018 9:56:34;20;66;0;0;45107;29769;5808;24312;8618;5081;1627;
27.04.2018 9:56:35;37;60;0;0;31671;7713;2141;5467;6455;2583;1488;
27.04.2018 9:56:36;48;44;0;0;27062;8447;2810;5279;3930;3455;1522;
27.04.2018 9:56:37;67;63;0;0;16396;13143;12802;6900;4661;6815;1598;
27.04.2018 9:56:38;75;60;0;0;20869;5252;4111;3992;5194;1649;2647;
27.04.2018 9:56:39;54;69;0;0;24159;9925;16543;13458;2001;2713;1105;
27.04.2018 9:56:40;64;75;0;0;16509;1283;10093;5029;5933;4753;1977;
27.04.2018 9:56:41;54;63;0;0;29180;7245;5519;6831;2631;2330;782;
27.04.2018 9:56:43;24;60;0;0;135080;27694;12228;8379;4266;1399;1693;
