DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 1:12:30;0;0;0;0;26858;5917;4799;2489;2423;983;251;
27.04.2018 1:12:31;0;0;0;0;12019;24609;1752;2869;5002;2434;416;
27.04.2018 1:12:32;0;0;0;0;41048;57706;8024;19573;18847;7981;1814;
27.04.2018 1:12:33;40;30;0;0;117232;8532;3481;22666;12507;3520;7725;
27.04.2018 1:12:34;63;34;0;0;39271;6100;10138;6133;15560;3317;3489;
27.04.2018 1:12:35;87;37;0;0;65595;31897;3970;5064;29022;10329;3879;
27.04.2018 1:12:36;100;44;0;0;21789;23641;16170;22641;11586;7416;5359;
27.04.2018 1:12:37;100;61;0;0;30661;21876;15105;16011;7037;7974;4134;
27.04.2018 1:12:38;93;69;0;0;19665;21064;8836;8927;11621;4156;3379;
27.04.2018 1:12:40;90;70;0;0;58816;24557;22508;14052;26596;9091;3980;
27.04.2018 1:12:41;83;77;0;0;24321;27437;17701;6097;9136;3246;1925;
27.04.2018 1:12:42;88;74;0;0;35560;7709;22373;15910;8411;1704;1364;
27.04.2018 1:12:43;74;74;0;0;16258;18642;10704;11587;5063;3931;2974;
27.04.2018 1:12:44;77;78;0;0;8388;8707;8895;4550;8868;3476;1678;
27.04.2018 1:14:07;54;66;0;0;125648;25236;11489;6477;6855;7554;3929;
27.04.2018 1:14:08;37;57;0;0;214198;43488;1269;11354;12946;8795;3376;
