DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 18:36:48;0;0;0;0;41686;10726;18373;21683;17598;36122;6366;
27.04.2018 18:36:49;0;0;0;0;12202;22566;11778;16380;34153;6934;4828;
27.04.2018 18:36:50;0;0;0;0;9538;1579;3128;2472;1042;996;1853;
27.04.2018 18:36:51;40;41;0;0;63683;4476;46901;19150;24343;16747;6577;
27.04.2018 18:36:52;44;64;0;0;17556;18843;26282;24583;24654;20070;13101;
27.04.2018 18:36:53;48;88;0;0;9983;3830;73386;8229;22857;22996;7498;
27.04.2018 18:36:54;69;70;0;0;4403;3657;11170;5352;33876;22897;5515;
27.04.2018 18:36:56;83;51;0;0;8896;3661;4221;35960;14938;8996;5407;
27.04.2018 18:36:57;91;29;0;0;1059;4366;6840;7197;13189;35383;17158;
27.04.2018 18:36:58;100;1;0;0;14515;8881;13567;25435;27867;19428;8750;
27.04.2018 18:36:59;83;4;0;0;55218;14855;2951;21709;17058;29123;2276;
27.04.2018 18:37:00;70;26;0;0;14637;14175;9112;19569;8696;32585;4403;
27.04.2018 18:37:01;54;47;0;0;22319;21375;45327;7777;14775;17615;6354;
