DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 15:18:44;0;0;0;0;6655;203;677;768;377;158;950;
27.04.2018 15:18:45;0;0;0;0;104880;15554;9594;2805;2018;2009;3418;
27.04.2018 15:18:47;0;0;0;0;74246;7780;4163;13673;8861;2957;12629;
27.04.2018 15:18:48;41;53;0;0;56572;25775;34133;19845;4638;2538;18833;
27.04.2018 15:18:53;64;64;0;0;22996;18444;13128;11681;14741;2413;16654;
27.04.2018 15:18:54;70;74;0;0;97526;40188;14589;13300;9971;9410;16538;
27.04.2018 15:18:55;69;83;0;0;86291;58385;6442;15923;4530;3022;21094;
27.04.2018 15:18:56;69;60;0;0;180528;41256;21901;38889;29504;13093;14742;
27.04.2018 15:18:57;70;61;0;0;64599;19983;16061;4925;7717;4636;4558;
27.04.2018 15:18:58;84;77;0;0;29720;22251;6090;14434;5005;2005;837;
27.04.2018 15:18:59;70;74;0;0;105498;14654;9638;10425;4383;4390;3549;
27.04.2018 15:19:01;69;64;0;0;40013;6699;4461;2327;3517;1475;622;
27.04.2018 15:19:02;60;50;0;0;159404;25604;26124;34193;7737;9490;9380;
27.04.2018 15:19:03;56;44;0;0;257914;82588;39415;36885;21554;13877;15562;
27.04.2018 15:19:04;56;43;0;0;198104;19022;13162;6569;7990;4756;18010;
27.04.2018 15:19:05;53;56;0;0;110558;71573;26712;9679;10721;6242;17819;
27.04.2018 15:19:06;64;47;0;0;157978;9283;10866;16278;19168;5132;20523;
27.04.2018 15:19:07;64;40;0;0;62370;5063;8719;3437;4200;1572;3573;
27.04.2018 15:19:08;67;38;0;0;77440;8424;4696;3088;4080;6701;6618;
27.04.2018 15:19:09;74;26;0;0;304276;27839;49452;10233;30527;16156;18601;
27.04.2018 15:19:10;67;50;0;0;82610;109545;21098;45175;16140;3067;17732;
27.04.2018 15:19:11;63;48;0;0;171978;11916;17792;8048;7447;1874;22352;
