DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 17:02:10;78;57;0;0;11003;23844;7791;9501;20716;13420;30445;
20.04.2018 17:02:10;91;57;0;0;4901;5983;4079;10474;31797;32829;40872;
20.04.2018 17:02:11;80;51;0;0;3931;1328;5350;4702;4025;5956;8861;
20.04.2018 17:02:12;43;37;0;0;352187;12431;6255;20556;11206;13872;13553;
20.04.2018 17:02:13;29;47;0;0;207685;106071;20287;27637;35466;34952;91365;
20.04.2018 17:02:14;29;47;0;0;307281;58997;40067;58484;32816;17203;25552;
20.04.2018 17:02:15;17;30;0;0;211356;4723;33891;30187;26966;27415;72218;
20.04.2018 17:02:16;27;57;0;0;31381;10794;21598;16999;5328;12255;39057;
20.04.2018 17:02:17;21;60;0;0;17456;7081;3768;1356;1497;1751;9072;
20.04.2018 17:02:18;27;63;0;0;15169;2688;7099;5206;4492;4631;42273;
20.04.2018 17:02:19;27;75;0;0;67809;21931;17488;14616;11364;9379;53518;
20.04.2018 17:02:20;35;64;0;0;11778;1348;2398;770;2827;3531;10516;
20.04.2018 17:02:21;30;61;0;0;20865;8087;1599;3018;1267;1016;10045;
20.04.2018 17:02:22;29;64;0;0;13715;4834;5575;1542;3479;5948;32474;
20.04.2018 17:02:23;38;64;0;0;13146;9212;3930;9625;6844;3541;36681;
20.04.2018 17:02:24;34;81;0;0;23356;16660;15247;3390;5665;3161;35516;
20.04.2018 17:02:25;48;81;0;0;16034;8254;2961;4650;6012;2655;33506;
20.04.2018 17:02:26;54;64;0;0;16236;1289;2700;8640;6760;2064;28042;
20.04.2018 17:02:27;47;69;0;0;27016;5123;23152;9139;5425;4422;32773;
20.04.2018 17:02:28;51;66;0;0;10164;6076;6487;2990;4904;2333;41083;
20.04.2018 17:02:29;37;57;0;0;58501;8584;2004;1082;2131;856;7958;
20.04.2018 17:02:30;38;67;0;0;4167;762;3817;5015;4423;3113;29263;
20.04.2018 17:02:31;44;75;0;0;8828;11917;14732;5456;6640;4787;41352;
20.04.2018 17:02:32;35;64;0;0;59482;12791;7104;8773;5014;3822;21139;
20.04.2018 17:02:33;53;78;0;0;3792;2372;5847;8827;3690;1630;34613;
20.04.2018 17:02:34;48;90;0;0;12192;8953;13975;2945;7798;4309;24054;
20.04.2018 17:02:35;44;77;0;0;19175;8950;4308;7365;4212;5454;35331;
20.04.2018 17:02:36;43;77;0;0;22202;5638;1822;3152;1558;1165;8277;
20.04.2018 17:02:37;37;74;0;0;18593;2791;10180;7625;4984;11202;37713;
20.04.2018 17:02:38;37;75;0;0;7587;18759;8532;6896;8237;5303;36759;
20.04.2018 17:02:39;48;78;0;0;3271;2055;5524;4098;6123;6170;26113;
20.04.2018 17:02:40;60;80;0;0;23900;3836;6025;1307;6892;5344;27349;
20.04.2018 17:02:41;61;77;0;0;24883;6283;3786;3417;6980;5932;29063;
20.04.2018 17:02:42;56;57;0;0;20491;2838;5295;9311;3628;7962;27807;
