DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 10:12:31;0;0;0;0;248811;22087;27609;9140;7756;10767;7408;
27.04.2018 10:12:32;0;0;0;0;68701;7909;17704;5568;8775;5529;1756;
27.04.2018 10:12:33;0;0;0;0;33632;14168;9244;7412;7603;2713;817;
27.04.2018 10:12:34;51;51;0;0;23683;13221;10277;6363;6855;2081;2147;
27.04.2018 10:12:35;53;75;0;0;32177;29691;33024;8869;5265;11859;2884;
27.04.2018 10:12:36;64;67;0;0;98478;9708;16075;15584;15617;14403;7607;
27.04.2018 10:12:40;75;57;0;0;113486;12976;10383;13907;17426;9372;7472;
27.04.2018 10:12:41;84;53;0;0;26368;2968;26880;14166;19470;6534;3955;
27.04.2018 10:12:42;100;21;0;0;10728;2194;4715;10014;12389;10796;3680;
27.04.2018 10:12:43;90;38;0;0;78058;50489;11109;8097;7544;2997;3016;
27.04.2018 10:12:44;74;53;0;0;59799;31191;11920;15079;14476;4702;2690;
27.04.2018 10:12:46;53;78;0;0;29119;12093;4157;2812;1372;1933;846;
27.04.2018 10:12:47;34;51;0;0;485442;9440;12303;17848;11176;8606;6789;
27.04.2018 10:12:48;23;53;0;0;169379;104900;6102;17040;18327;14046;12766;
27.04.2018 10:12:49;11;34;0;0;355635;28236;10243;11403;17990;14542;4823;
27.04.2018 10:12:50;30;43;0;0;22097;20032;6905;2645;8638;9513;2232;
27.04.2018 10:12:51;44;64;0;0;105529;7938;23120;8995;11485;4049;2291;
27.04.2018 10:12:52;47;75;0;0;30557;29793;23047;6986;6234;5622;2213;
27.04.2018 10:12:53;57;100;0;0;87893;77223;50720;12974;32730;11358;4776;
27.04.2018 10:12:54;48;74;0;0;62116;1367;4621;3127;5561;2403;1312;
27.04.2018 10:12:55;53;93;0;0;262120;186978;311343;72596;89924;73147;19366;
27.04.2018 10:12:56;57;70;0;0;21697;2467;2910;4374;3740;1370;479;
27.04.2018 10:12:57;44;48;0;0;52725;5848;4333;7184;2404;2042;2043;
