DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
25.04.2018 18:02:01;88;74;0;0;22556;2800;2472;5888;7780;3517;19840;
25.04.2018 18:02:01;84;66;0;0;47338;19536;21310;15177;11219;8925;20362;
25.04.2018 18:02:01;80;67;0;0;9725;18834;4363;6958;9783;4191;23309;
25.04.2018 18:02:02;77;56;0;0;10579;5168;1517;5752;4900;1445;22977;
25.04.2018 18:02:03;61;70;0;0;6934;2603;6255;8520;946;2780;1512;
25.04.2018 18:02:04;77;69;0;0;1797;2695;3043;6891;5031;3037;3955;
25.04.2018 18:02:05;77;63;0;0;4671;7025;7942;17343;5145;4754;10754;
25.04.2018 18:02:06;67;56;0;0;70208;10962;3747;7618;9386;5509;19279;
25.04.2018 18:02:07;83;60;0;0;7039;9781;4472;6982;6365;6363;14893;
25.04.2018 18:02:08;70;51;0;0;43527;7209;5217;4072;9915;7445;15257;
25.04.2018 18:02:09;74;34;0;0;26866;2098;3979;7176;12511;5156;12256;
25.04.2018 18:02:10;83;41;0;0;11142;4645;2330;3213;5156;1627;3371;
25.04.2018 18:02:11;87;35;0;0;10939;5738;6671;9149;11067;6070;8494;
25.04.2018 18:02:12;90;48;0;0;11342;10512;3611;6092;6545;3595;2645;
25.04.2018 18:02:13;87;69;0;0;25208;20562;29066;20430;19720;24080;15050;
25.04.2018 18:02:14;80;75;0;0;77458;46084;14302;10653;19057;16570;8383;
25.04.2018 18:02:15;61;64;0;0;44008;5152;3810;2743;2817;1645;3550;
25.04.2018 18:02:16;53;38;0;0;64438;3109;1916;10759;7669;3951;2667;
25.04.2018 18:02:17;44;11;0;0;37827;2889;1339;8459;3753;5866;1633;
25.04.2018 18:02:18;44;14;0;0;85581;79956;2288;7510;25781;8698;9701;
25.04.2018 18:02:19;54;26;0;0;97756;36444;26804;7522;28199;7171;14007;
25.04.2018 18:02:20;60;43;0;0;273249;39742;62288;59588;63694;16339;8059;
25.04.2018 18:02:21;66;64;0;0;26599;20448;6814;14556;11343;8542;15966;
25.04.2018 18:02:22;53;54;0;0;330599;72573;28372;23801;15161;6417;4938;
25.04.2018 18:02:23;50;56;0;0;23882;7297;13378;7308;5000;4852;2433;
25.04.2018 18:02:24;60;69;0;0;17408;21094;30735;14619;40325;17853;34438;
25.04.2018 18:02:25;56;66;0;0;24294;12774;3295;7238;5960;4257;2578;
25.04.2018 18:02:26;77;61;0;0;56200;7266;11051;15819;23989;6316;6098;
25.04.2018 18:02:27;81;60;0;0;37981;16679;14276;19448;14976;30485;9807;
25.04.2018 18:02:28;83;54;0;0;9508;2736;13711;11305;16115;16158;8116;
25.04.2018 18:02:29;74;70;0;0;11320;24649;5349;2863;2257;3242;4441;
25.04.2018 18:02:30;80;70;0;0;18639;193;8066;5367;17705;3861;6248;
25.04.2018 18:02:31;75;77;0;0;61956;30183;29990;9435;12514;7168;21328;
25.04.2018 18:02:32;56;57;0;0;235079;19205;11077;13391;24934;7607;10794;
25.04.2018 18:02:33;66;40;0;0;33136;6752;9713;9981;7719;15937;26567;
25.04.2018 18:02:34;41;34;0;0;72580;3617;5401;3519;2657;2118;2001;
25.04.2018 18:02:35;38;20;0;0;15634;2932;1786;1277;1561;1179;1013;
25.04.2018 18:02:36;38;44;0;0;32393;19271;14917;9288;6118;2287;3523;
25.04.2018 18:02:37;48;40;0;0;11769;2719;4100;4614;10962;8195;17939;
25.04.2018 18:02:38;63;60;0;0;25940;10238;14652;11492;8717;9171;12273;
25.04.2018 18:02:39;87;64;0;0;1812;1696;5721;6035;11429;2133;5789;
25.04.2018 18:02:40;97;54;0;0;23362;10002;3926;6323;12101;2232;6699;
25.04.2018 18:02:41;94;60;0;0;20105;6012;9620;10986;13059;4807;13951;
25.04.2018 18:02:42;100;66;0;0;9360;16077;7778;3539;11737;5126;4881;
25.04.2018 18:02:43;81;63;0;0;19082;3008;7740;11072;4047;2083;2415;
25.04.2018 18:02:44;81;70;0;0;10202;7836;20002;17329;11384;15758;9641;
25.04.2018 18:02:45;70;69;0;0;20896;4990;4876;2528;3833;2248;4876;
25.04.2018 18:02:46;61;67;0;0;12397;11646;4062;6932;3102;1737;3134;
25.04.2018 18:02:47;63;64;0;0;32110;2304;6304;1271;6233;1671;1629;
25.04.2018 18:02:48;43;63;0;0;39547;21131;5110;2612;2546;2005;1317;
25.04.2018 18:02:49;44;57;0;0;65747;6498;10776;4608;11286;5646;7063;
25.04.2018 18:02:50;54;48;0;0;3946;564;1510;759;1806;1512;3081;
25.04.2018 18:02:51;44;57;0;0;67807;31395;9399;5834;5721;7847;3393;
25.04.2018 18:02:52;61;61;0;0;26616;24909;8122;8966;12782;8676;11324;
25.04.2018 18:02:53;80;60;0;0;7198;1714;5878;7814;18222;4219;4525;
25.04.2018 18:02:54;66;74;0;0;40936;37432;24697;12036;7599;10698;10841;
25.04.2018 18:02:55;57;48;0;0;63741;1128;1458;7417;1626;1192;3209;
25.04.2018 18:02:56;48;41;0;0;21549;8200;3511;6505;2518;740;3171;
25.04.2018 18:02:57;29;48;0;0;67787;14086;18523;23804;14463;7453;3984;
25.04.2018 18:02:58;29;41;0;0;104384;55602;31491;16427;12994;6584;5854;
