DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
27.04.2018 10:16:16;0;0;0;0;172131;17226;24860;24876;25750;6283;1867;
27.04.2018 10:16:18;0;0;0;0;358554;237584;63371;94339;67160;35986;14084;
27.04.2018 10:16:20;0;0;0;0;23853;12689;8834;4478;13053;6644;1849;
27.04.2018 10:16:29;38;60;0;0;69428;18349;53948;52257;27392;5342;4433;
27.04.2018 10:16:34;44;47;0;0;167776;12044;17041;21465;33694;10088;5926;
27.04.2018 10:16:48;0;0;0;0;143296;45209;17923;23341;19649;15455;1245;
27.04.2018 10:16:49;0;0;0;0;380122;18356;34034;85412;75404;27235;3837;
27.04.2018 10:16:50;0;0;0;0;305706;110333;35074;21302;12119;9009;2645;
27.04.2018 10:16:51;61;69;0;0;117841;53643;8750;11150;45722;8879;10275;
27.04.2018 10:16:53;69;93;0;0;171186;143059;103752;18362;27228;28502;20615;
27.04.2018 10:16:54;66;100;0;0;15710;21632;11781;12434;3304;4079;1471;
27.04.2018 10:16:55;67;88;0;0;122537;5960;6956;12740;14660;8667;937;
27.04.2018 10:16:58;51;91;0;0;219639;97065;70452;36483;19514;16137;6219;
27.04.2018 10:16:59;43;90;0;0;18255;10239;14055;6071;1419;4282;584;
27.04.2018 10:17:00;47;80;0;0;352159;210806;125930;222466;62241;38928;4245;
27.04.2018 10:17:02;40;100;0;0;35428;10261;34603;11414;4341;2688;597;
27.04.2018 10:17:03;43;97;0;0;50150;12970;3307;9758;5155;5273;223;
27.04.2018 10:17:04;48;93;0;0;233615;137836;34281;11809;21898;7445;4163;
27.04.2018 10:17:06;41;90;0;0;712783;221021;133693;27106;59536;21559;9374;
27.04.2018 10:17:07;53;87;0;0;122209;88272;20842;28822;40066;15209;3674;
27.04.2018 10:17:08;56;87;0;0;98259;18785;13251;17752;12513;4582;2022;
27.04.2018 10:17:09;69;77;0;0;28657;12234;6781;27206;8428;2673;1625;
27.04.2018 10:17:10;78;77;0;0;12568;3279;3483;3005;2069;1760;681;
27.04.2018 10:17:11;69;66;0;0;15998;2336;3469;1849;1451;575;276;
27.04.2018 10:17:12;66;61;0;0;110582;9159;11691;9682;9601;2011;1528;
27.04.2018 10:17:13;67;60;0;0;9020;2537;1276;1449;2883;1143;511;
27.04.2018 10:17:15;75;67;0;0;64710;60469;29633;25155;32066;4383;9001;
27.04.2018 10:17:16;84;74;0;0;40220;13256;15719;9636;14041;2107;1316;
27.04.2018 10:17:22;83;78;0;0;48625;10897;6458;13698;3646;2046;651;
27.04.2018 10:17:24;83;80;0;0;37032;6959;10295;8502;12674;3340;1528;
27.04.2018 10:17:25;80;75;0;0;22676;13832;1751;7284;6563;1933;3018;
27.04.2018 10:17:26;70;77;0;0;54814;14196;33357;32152;10200;6019;1157;
27.04.2018 10:17:28;74;69;0;0;411693;17300;49604;23339;28988;4644;3276;
27.04.2018 10:17:29;67;63;0;0;93712;8701;13752;8285;15942;6747;5876;
27.04.2018 10:17:30;74;61;0;0;63863;29520;19389;18422;25012;3158;4199;
27.04.2018 10:17:31;78;51;0;0;70743;7750;10034;3882;12657;4433;4195;
27.04.2018 10:17:32;81;41;0;0;147354;2676;8793;8733;12617;7832;2634;
27.04.2018 10:17:33;81;64;0;0;12062;13256;22881;9443;6330;8403;2035;
27.04.2018 10:17:34;64;63;0;0;133242;39702;26407;8538;11289;11895;5023;
27.04.2018 10:17:35;67;66;0;0;67540;9958;16179;8988;16072;2197;2948;
27.04.2018 10:17:36;69;91;0;0;30357;3934;22134;9622;6095;4231;1671;
27.04.2018 10:17:37;66;90;0;0;17410;14724;24861;8482;5698;7076;1235;
27.04.2018 10:17:38;69;84;0;0;46499;10910;8875;5572;6221;8313;3137;
27.04.2018 10:17:39;60;100;0;0;30721;34751;9610;6810;6168;10378;3589;
27.04.2018 10:17:40;70;100;0;0;14768;2100;17286;4397;10571;2662;2233;
27.04.2018 10:17:41;60;74;0;0;256757;9001;21099;11229;11119;5997;6677;
27.04.2018 10:17:42;60;74;0;0;103702;33985;6690;11059;14148;7429;1955;
27.04.2018 10:17:43;67;64;0;0;60464;36170;22286;30139;18092;6147;2257;
27.04.2018 10:17:44;54;57;0;0;74125;22637;19794;31164;12761;5473;3622;
27.04.2018 10:17:45;75;80;0;0;16803;10879;12331;8157;8056;8707;2751;
27.04.2018 10:17:46;80;77;0;0;494346;48253;83129;70025;93806;30105;26019;
27.04.2018 10:17:47;78;64;0;0;99507;21051;12421;33598;17571;12891;2038;
27.04.2018 10:17:55;78;56;0;0;45508;6218;4849;7939;5306;2528;1437;
27.04.2018 10:17:56;81;56;0;0;26412;21155;15059;14840;19363;2863;3044;
27.04.2018 10:17:57;53;94;0;0;22426;26282;35091;14906;17306;6122;1726;
27.04.2018 10:17:58;57;100;0;0;72740;46117;25629;8111;11453;7889;2031;
27.04.2018 10:17:59;54;88;0;0;89615;8894;4148;15687;9708;5585;4999;
27.04.2018 10:18:00;60;64;0;0;213728;17929;11021;31463;12123;11455;3826;
27.04.2018 10:18:02;56;60;0;0;114740;135213;10201;40709;42449;19071;3595;
27.04.2018 10:18:03;57;53;0;0;15168;3700;6482;3987;2060;1910;652;
27.04.2018 10:18:04;54;74;0;0;79022;23754;31935;6246;10470;5818;1932;
