DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
20.04.2018 15:48:28;34;74;0;0;17045;7733;15775;9821;6436;6039;2632;
20.04.2018 15:48:28;53;69;0;0;10124;1169;9022;22035;9011;9918;5936;
20.04.2018 15:48:29;51;74;0;0;84987;12759;9651;5982;7598;7230;4588;
20.04.2018 15:48:30;43;67;0;0;13078;807;27537;21211;6997;6014;4390;
20.04.2018 15:48:31;53;69;0;0;11723;5802;18569;4866;15258;7223;5515;
20.04.2018 15:48:32;51;78;0;0;7646;9713;3286;6314;8747;4031;3199;
20.04.2018 15:48:33;64;91;0;0;10446;9903;10373;6092;8217;3653;5835;
DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
