DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
13.04.2018 19:37;23;74;0;0;18929;2308;4788;3350;8192;1775;653105
13.04.2018 19:37;24;54;0;0;54990;4339;5552;6403;4933;1863;182323
13.04.2018 19:37;20;50;0;0;246456;17931;38681;23687;8034;6456;604175
13.04.2018 19:37;23;47;0;0;43000;21986;7330;34221;6766;5287;555376
13.04.2018 19:37;14;56;0;0;14500;6143;13099;13512;5105;4533;473329
13.04.2018 19:37;17;54;0;0;112380;7592;10519;9916;13774;6523;431467
13.04.2018 19:37;30;70;0;0;31031;16012;15124;6146;7272;1518;94103
13.04.2018 19:37;34;78;0;0;32946;4428;21146;2110;6489;3605;15880
13.04.2018 19:37;20;64;0;0;227845;35379;15160;9483;10046;6614;108062
13.04.2018 19:38;14;74;0;0;117732;1476;37955;20994;10064;2477;193812
13.04.2018 19:38;21;70;0;0;33562;11686;25515;9735;17860;13951;41397
13.04.2018 19:38;20;66;0;0;78149;27222;8940;8358;9160;8574;84924
13.04.2018 19:38;26;80;0;0;90408;73417;6412;27797;13788;24407;348067
13.04.2018 19:38;26;83;0;0;157571;46058;21393;43180;13427;11369;340616
13.04.2018 19:38;21;77;0;0;144468;32778;45590;41270;26956;14222;363929
13.04.2018 19:38;13;69;0;0;336120;74934;13934;19073;14308;8678;389585
13.04.2018 19:38;23;77;0;0;3469;1673;5038;1779;2265;2797;97939
13.04.2018 19:38;13;63;0;0;322240;27047;12020;9200;8357;5399;105590
13.04.2018 19:38;11;47;0;0;136002;4874;8496;4782;15268;4462;429568
13.04.2018 19:38;24;51;0;0;78180;36204;12521;22381;18875;8766;441127
13.04.2018 19:38;13;44;0;0;153107;60949;35883;21051;15415;11903;508255
13.04.2018 19:38;24;60;0;0;5359;2326;1255;1947;803;1748;23597
13.04.2018 19:38;30;78;0;0;19633;5211;8817;4045;7549;7117;396555
13.04.2018 19:38;21;81;0;0;27735;13117;4242;4450;2107;1466;105625
13.04.2018 19:38;23;80;0;0;9676;5697;637;3996;1229;948;97933
13.04.2018 19:38;24;83;0;0;16316;26091;2482;8876;5833;4054;354025
13.04.2018 19:38;24;77;0;0;26345;5556;3140;2208;1825;1604;84655
13.04.2018 19:38;21;77;0;0;5430;1551;1259;1231;394;380;21226
13.04.2018 19:38;17;87;0;0;23149;12971;11996;11021;5086;4139;286311
13.04.2018 19:38;11;64;0;0;27321;509;5021;9840;2441;4034;295998
13.04.2018 19:38;24;70;0;0;11439;6856;5366;4786;5234;2519;264659
13.04.2018 19:38;21;77;0;0;41395;12537;14818;2150;2106;1179;75233
13.04.2018 19:38;26;70;0;0;59771;19639;13333;8727;17319;11862;182915
13.04.2018 19:38;40;74;0;0;29330;4570;3516;8361;11691;5710;258843
13.04.2018 19:38;29;70;0;0;95004;32239;21331;13295;11575;7197;333242
13.04.2018 19:38;34;63;0;0;392216;19332;100044;38217;26400;29715;185995
13.04.2018 19:38;17;54;0;0;23771;3679;1804;1340;1059;1305;10841
13.04.2018 19:38;7;56;0;0;34802;7959;811;6615;3092;6797;48028
13.04.2018 19:38;1;40;0;0;754264;69749;28060;44072;31307;20873;99591
13.04.2018 19:38;8;60;0;0;58278;93234;25230;19700;20217;44575;35171
13.04.2018 19:38;17;56;0;0;21319;2854;1282;2942;2938;2583;16774
13.04.2018 19:38;11;74;0;0;70737;57133;16478;11463;5606;3650;192658
13.04.2018 19:38;10;80;0;0;140487;22317;9679;9056;4661;2571;81892
13.04.2018 19:38;35;44;0;0;11316;2092;1852;9671;7385;3169;160136
13.04.2018 19:38;48;54;0;0;24381;11284;3264;2134;4671;4599;149232
13.04.2018 19:38;48;60;0;0;105658;22394;27490;9927;8490;5990;141131
13.04.2018 19:38;34;61;0;0;472348;147501;7923;19710;29082;15489;148257
13.04.2018 19:38;11;63;0;0;54436;4028;5942;1731;3185;3025;23184
13.04.2018 19:38;8;67;0;0;80440;60334;39479;34953;16227;7008;244640
13.04.2018 19:38;3;81;0;0;12717;12028;9686;3543;1205;2689;48136
13.04.2018 19:38;17;78;0;0;25364;6861;3905;7269;8889;7091;270581
13.04.2018 19:38;23;83;0;0;62702;15954;2202;8129;6533;5140;88057
13.04.2018 19:38;21;84;0;0;220442;84415;129532;26359;36806;21617;312484
13.04.2018 19:38;43;64;0;0;24060;951;10590;14340;12878;15820;472009
13.04.2018 19:38;23;57;0;0;94979;3184;10554;2796;3165;3308;74819
13.04.2018 19:38;26;66;0;0;13960;4914;4669;4309;2600;3502;47953
13.04.2018 19:38;26;29;0;0;220838;3142;7780;21772;19022;17057;185017
13.04.2018 19:38;29;34;0;0;6203;392;4767;5567;5934;6347;232609
13.04.2018 19:38;40;38;0;0;76975;8493;8483;10345;7168;7871;146695
13.04.2018 19:38;40;35;0;0;11407;2960;2305;1396;1982;1909;39291
13.04.2018 19:38;35;67;0;0;73616;10902;16567;8883;5643;10206;173451
13.04.2018 19:38;43;87;0;0;7975;5804;11015;6090;5899;5793;144645
13.04.2018 19:38;50;81;0;0;18025;1472;4326;1618;5541;980;31945
13.04.2018 19:38;30;64;0;0;74143;8254;3651;2392;4299;2096;45660
13.04.2018 19:38;21;51;0;0;707879;54801;34791;39579;10391;21943;146442
13.04.2018 19:39;4;47;0;0;11004;7780;348;1783;536;1769;9686
13.04.2018 19:39;13;40;0;0;10941;711;4334;14070;9069;9937;131556
13.04.2018 19:39;30;44;0;0;27660;684;9296;7747;12963;9992;111091
13.04.2018 19:39;51;60;0;0;47492;10969;20109;17264;10657;12200;109746
13.04.2018 19:39;63;56;0;0;18747;9655;5370;9763;3920;1685;29686
13.04.2018 19:39;53;83;0;0;21658;25440;25823;12044;10794;8702;127998
13.04.2018 19:39;51;96;0;0;19024;1207;31406;18434;14882;17446;108718
13.04.2018 19:39;44;81;0;0;38160;942;4061;3290;3059;1470;38877
13.04.2018 19:39;44;80;0;0;11782;6103;3010;9573;2249;2621;31238
13.04.2018 19:39;48;75;0;0;6553;7696;11239;12102;5490;5346;130657
13.04.2018 19:39;48;57;0;0;12545;437;2708;1832;5309;3064;29780
13.04.2018 19:39;56;64;0;0;22058;4828;2234;4113;4988;1908;32049
13.04.2018 19:39;64;63;0;0;6852;2390;1543;2628;3252;1773;36371
13.04.2018 19:39;60;53;0;0;42708;21103;3807;18684;8283;3745;140104
13.04.2018 19:39;61;57;0;0;32024;10353;5547;16098;15934;4492;114981
13.04.2018 19:39;69;64;0;0;29379;11933;7000;2522;19718;7034;123548
13.04.2018 19:39;67;69;0;0;35730;15373;11320;2621;17175;25132;91587
13.04.2018 19:39;75;54;0;0;52659;5084;4016;20700;16989;19195;107342
13.04.2018 19:39;66;48;0;0;25691;3664;1406;4795;3866;5464;34189
13.04.2018 19:39;74;47;0;0;9458;9515;2837;10475;18631;9674;105037
13.04.2018 19:39;61;29;0;0;185262;8763;18218;14579;13932;6485;110740
13.04.2018 19:39;66;48;0;0;7429;8258;2342;5575;10190;4766;145735
13.04.2018 19:39;80;60;0;0;8230;10062;2158;11176;11381;3338;139944
13.04.2018 19:39;75;64;0;0;2731;4818;6310;11130;7664;3671;126102
13.04.2018 19:39;87;70;0;0;33367;3037;8556;8493;11171;10106;114780
13.04.2018 19:39;87;64;0;0;11682;4669;1899;1606;9841;2993;149684
13.04.2018 19:39;81;61;0;0;19053;5192;3762;6512;8886;5764;144219
13.04.2018 19:39;74;63;0;0;43987;14643;31984;16058;16977;10620;121238
13.04.2018 19:39;61;75;0;0;42238;10668;20669;6652;4546;4643;28163
13.04.2018 19:39;53;93;0;0;16392;13075;44129;9950;13368;3565;84208
13.04.2018 19:39;64;100;0;0;3230;5713;7605;4176;22999;9131;114008
13.04.2018 19:39;64;83;0;0;38960;4126;4490;13474;9245;5417;91691
13.04.2018 19:39;80;87;0;0;59626;70655;29710;18472;49624;11143;106135
13.04.2018 19:39;80;64;0;0;66645;14429;6556;18280;17722;15021;119161
13.04.2018 19:39;60;70;0;0;34026;25599;30302;20513;10135;10039;154597
13.04.2018 19:39;60;78;0;0;75422;17630;11911;16381;23322;31811;133359
13.04.2018 19:39;56;70;0;0;18461;3686;9692;5494;7324;23930;123370
