DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
13.04.2018 19:39;0;0;0;0;69498;11443;16763;13844;9069;12535;5238
13.04.2018 19:39;0;0;0;0;125598;21630;20503;28397;18942;8060;3393
13.04.2018 19:39;0;0;0;0;63767;45674;14670;14157;17723;12742;7993
13.04.2018 19:39;54;50;0;0;45540;19157;15435;3665;14315;14631;4338
13.04.2018 19:40;51;50;0;0;25156;9279;3389;5701;4022;887;1030
13.04.2018 19:40;43;69;0;0;18245;9870;11317;5620;3647;866;534
13.04.2018 19:40;24;77;0;0;212472;112744;33938;63947;26064;9569;2787
13.04.2018 19:40;1;70;0;0;268842;88493;45080;40032;9760;6045;3846
13.04.2018 19:40;1;61;0;0;31693;6858;1387;3484;3588;1532;501
13.04.2018 19:40;34;35;0;0;24225;6645;6390;14382;14122;23898;10266
13.04.2018 19:40;43;10;0;0;449250;51725;1550;48637;25825;21443;7661
13.04.2018 19:40;64;1;0;0;280019;47020;19842;15549;30168;28892;14727
13.04.2018 19:40;56;7;0;0;73602;15986;6148;3219;7102;3976;5950
13.04.2018 19:40;41;16;0;0;93188;27886;14171;13794;16699;5303;2050
13.04.2018 19:40;64;24;0;0;23671;2135;3948;2985;6489;4240;5270
13.04.2018 19:40;57;37;0;0;287921;99897;50988;69643;24799;22632;2951
13.04.2018 19:40;63;41;0;0;26213;1372;14054;19837;4293;2383;1391
13.04.2018 19:40;56;24;0;0;253372;31313;12619;37752;24651;2312;2980
13.04.2018 19:40;26;48;0;0;130048;65098;28097;13527;6910;2347;1138
13.04.2018 19:40;51;44;0;0;108714;41884;39426;55084;51807;19307;6882
13.04.2018 19:40;44;37;0;0;562292;84476;41174;17847;46896;14777;6672
13.04.2018 19:40;56;63;0;0;57094;10542;45685;24708;18784;2248;1647
13.04.2018 19:40;77;30;0;0;77106;1139;5942;13260;9166;5020;4720
13.04.2018 19:40;51;38;0;0;69195;19893;14391;7819;5877;3070;1272
13.04.2018 19:40;35;56;0;0;98943;27698;19626;4765;2591;2420;1247
13.04.2018 19:40;10;57;0;0;82372;30124;22398;6150;4596;7853;9478
13.04.2018 19:40;1;63;0;0;451424;14170;31751;31114;16237;21892;8278
13.04.2018 19:40;13;56;0;0;33459;9179;4036;3771;8303;5501;1148
13.04.2018 19:40;13;34;0;0;550565;22599;47314;41999;13070;35580;30262
13.04.2018 19:40;34;17;0;0;28159;3655;4953;9831;4208;608;204
13.04.2018 19:40;54;41;0;0;246927;27326;99145;60763;52528;29312;35445
13.04.2018 19:40;44;29;0;0;192139;8650;23001;34055;23669;3015;1425
13.04.2018 19:40;81;29;0;0;20834;2773;954;4149;5742;290;255
13.04.2018 19:40;94;30;0;0;93885;8991;37896;56829;45852;3831;1990
13.04.2018 19:40;67;23;0;0;713275;129187;48996;38055;17570;13623;7844
13.04.2018 19:40;69;35;0;0;67460;20379;11920;47025;12104;9413;8004
13.04.2018 19:40;63;57;0;0;54167;14590;21836;4551;14646;7989;1694
13.04.2018 19:40;37;51;0;0;206538;10469;27260;12370;12613;11775;3190
13.04.2018 19:40;44;63;0;0;14483;4173;5821;3698;820;546;233
13.04.2018 19:40;35;63;0;0;572517;32276;133466;73493;41777;13784;7427
13.04.2018 19:40;24;66;0;0;109547;64278;19819;9786;15051;3505;2657
13.04.2018 19:40;27;80;0;0;34411;5231;11497;8500;3274;871;692
13.04.2018 19:40;29;80;0;0;166856;92025;23991;53634;12040;1768;1791
13.04.2018 19:40;27;87;0;0;348465;52051;106555;59122;25733;4827;911
13.04.2018 19:40;40;69;0;0;8694;1203;1688;3228;2133;596;321
13.04.2018 19:40;56;69;0;0;16379;8533;3874;9227;6506;2271;2371
13.04.2018 19:40;75;80;0;0;24930;26078;9773;5474;7978;895;896
13.04.2018 19:40;83;75;0;0;182751;50217;22858;47193;25488;8693;5661
13.04.2018 19:40;78;93;0;0;67017;33926;26591;9757;16198;3281;1597
13.04.2018 19:40;77;96;0;0;84402;22128;44019;47312;30160;10101;3548
13.04.2018 19:41;84;90;0;0;33807;37176;6500;9859;19154;1469;1298
